term,group_count,overall_count,exact_pval,sig,genes
amino acid metabolic process,5,173,3.4948871885302235e-5,TRUE,YHR018C YJR148W YOR375C YPL111W YPR035W
small molecule metabolic process,6,556,0.0011030408971803916,FALSE,YHR018C YJR148W YNL141W YOR375C YPL111W YPR035W
amino acid transport,2,40,0.004136721340279463,FALSE,YKR039W YPL265W
biosynthetic process,5,973,0.07269224962053451,FALSE,YHR018C YJR148W YNL141W YOR375C YPR035W
catabolic process,3,615,0.18660895365584407,FALSE,YJR148W YNL141W YPL111W
nucleobase-containing small molecule metabolic process,1,172,0.35124890465849956,FALSE,YNL141W
transport,3,874,0.3696149590241633,FALSE,YKR039W YPL265W YPR138C
homeostatic process,1,184,0.3709127285805307,FALSE,YPR138C
transmembrane transport,1,195,0.388456388922794,FALSE,YPR138C
signal transduction,1,215,0.4192096179153949,FALSE,YHR029C
response to chemical,1,281,0.5109178274658213,FALSE,YFL021W
response to stress,1,503,0.7307339826287282,FALSE,YHR029C
cellular nitrogen compound metabolic process,2,1386,0.8972159617338633,FALSE,YNL141W YOR375C
