term,group_count,overall_count,exact_pval,sig,genes
amino acid transport,3,40,1.0797277489587089e-4,TRUE,YDL210W YKR039W YPL265W
nitrogen cycle metabolic process,1,1,0.00246812011517894,FALSE,YBR208C
amino acid metabolic process,3,173,0.0076926728438693765,FALSE,YGR019W YLR142W YPR035W
small molecule metabolic process,4,556,0.039656461176008614,FALSE,YBR208C YGR019W YLR142W YPR035W
transport,5,874,0.048621346086267545,FALSE,YDL210W YJR152W YKR039W YNL142W YPL265W
transmembrane transport,2,195,0.08113741650781867,FALSE,YDL210W YNL142W
pseudohyphal growth,1,48,0.1123644217756522,FALSE,YNL142W
catabolic process,3,615,0.18660895365584407,FALSE,YBR208C YGR019W YLR142W
growth,1,89,0.19904585332741165,FALSE,YNL142W
monocarboxylic acid metabolic process,1,105,0.23071364821322593,FALSE,YGR019W
homeostatic process,1,184,0.3709127285805307,FALSE,YNL142W
proteolysis involved in protein catabolic process,1,186,0.37413640101439116,FALSE,YJL172W
response to chemical,1,281,0.5109178274658213,FALSE,YFL021W
biosynthetic process,1,973,0.9316405980402434,FALSE,YPR035W
