term,group_count,overall_count,exact_pval,sig,genes
protein folding,3,91,3.323203495675385e-4,TRUE,YCL043C YDR518W YFR041C
carbohydrate metabolic process,2,106,0.01210594315605663,FALSE,YFR042W YJL034W
transmembrane transport,2,195,0.03821921173715287,FALSE,YJL034W YOL031C
protein lipidation,1,34,0.05463216055504405,FALSE,YKL165C
nucleus organization,1,48,0.07635711825722746,FALSE,YJL034W
organelle fusion,1,71,0.11110056993865225,FALSE,YJL034W
RNA modification,1,98,0.1504227323929369,FALSE,YJL035C
tRNA processing,1,104,0.15895130699181526,FALSE,YJL035C
transport,3,874,0.16033398396461013,FALSE,YJL034W YKL165C YOL031C
nucleobase-containing compound transport,1,117,0.17717332347757175,FALSE,YKL165C
biosynthetic process,3,973,0.2033996048450449,FALSE,YFR042W YJL034W YKL165C
tRNA metabolic process,1,179,0.2594098590368038,FALSE,YJL035C
chromosome organization,1,181,0.26193827763140143,FALSE,YFR042W
proteolysis involved in protein catabolic process,1,186,0.2682263073269793,FALSE,YJL034W
lipid metabolic process,1,249,0.343533066939822,FALSE,YKL165C
response to chemical,1,281,0.37911792997525995,FALSE,YJL034W
response to stress,1,503,0.5828556230932551,FALSE,YJL034W
catabolic process,1,615,0.6613306646292918,FALSE,YJL034W
cellular nitrogen compound metabolic process,1,1386,0.9319042498035617,FALSE,YJL035C
