term,group_count,overall_count,exact_pval,sig,genes
cellular respiration,12,56,1.186369579166371e-16,TRUE,YBL045C YDR529C YEL024W YGL187C YGR183C YHR001W-A YHR051W YKL148C YLR395C YML120C YMR256C YOR065W
generation of precursor metabolites and energy,13,115,3.219338094801757e-14,TRUE,YBL045C YDR529C YEL024W YGL187C YGR183C YHR001W-A YHR051W YKL060C YKL148C YLR395C YML120C YMR256C YOR065W
small molecule metabolic process,17,556,2.3430806410212534e-9,TRUE,YBL015W YBL099W YBR039W YDL004W YDR148C YDR377W YER065C YFL030W YIL125W YJR121W YKL060C YML081C-A YML120C YNR001C YOR375C YPL262W YPR145W
nucleobase-containing small molecule metabolic process,9,172,5.38497192756307e-7,TRUE,YBL099W YBR039W YDL004W YDR377W YJR121W YKL060C YML081C-A YML120C YNR001C
biosynthetic process,11,973,0.025707228390566723,FALSE,YBL099W YBR039W YDL004W YDR377W YFL030W YJR121W YKL060C YML081C-A YML091C YOR375C YPR145W
monocarboxylic acid metabolic process,3,105,0.026066483364257716,FALSE,YBL015W YER065C YKL060C
amino acid metabolic process,3,173,0.08925950648866866,FALSE,YFL030W YOR375C YPR145W
carbohydrate metabolic process,2,106,0.13833159614094562,FALSE,YER065C YKL060C
protein-containing complex assembly,4,375,0.19741549258190924,FALSE,YDR529C YGR183C YLR038C YML081C-A
cellular nitrogen compound metabolic process,11,1386,0.2137477304579236,FALSE,YBL099W YBR039W YDL004W YDR377W YJR121W YKL060C YML081C-A YML091C YML120C YNR001C YOR375C
nucleobase-containing compound catabolic process,2,165,0.2710384120031778,FALSE,YKL060C YNR001C
sulfur compound metabolic process,1,81,0.3968120230956743,FALSE,YNR001C
cellular component assembly,4,534,0.4228300558910214,FALSE,YDR529C YGR183C YLR038C YML081C-A
cytoplasmic translation,1,96,0.45123471783332014,FALSE,YML091C
tRNA processing,1,104,0.47828695710914193,FALSE,YML091C
mRNA processing,1,113,0.5071802649820167,FALSE,YML091C
mitochondrion organization,1,160,0.6346556061915862,FALSE,YML091C
tRNA metabolic process,1,179,0.6765666950435075,FALSE,YML091C
translation,1,189,0.6967179250072724,FALSE,YML091C
catabolic process,2,615,0.9083003223088297,FALSE,YKL060C YNR001C
