term,group_count,overall_count,exact_pval,sig,genes
protein folding,24,91,7.801326659085604e-24,TRUE,YAL005C YBL075C YBR072W YBR169C YDR214W YDR258C YER103W YFL016C YGR142W YJR045C YLL024C YLL026W YLR216C YLR259C YML130C YMR186W YNL007C YNL064C YNL281W YOR020C YOR027W YPL106C YPL240C YPR158W
response to heat,8,30,1.5034662187116983e-8,TRUE,YBR072W YDR258C YFL014W YFL016C YLL026W YMR186W YNL007C YOR007C
proteolysis involved in protein catabolic process,14,186,1.2745127625530375e-6,TRUE,YAL005C YBL075C YBR082C YBR101C YBR169C YBR170C YFL016C YJL034W YJL144W YLL024C YNL007C YNL064C YOL082W YPL106C
carbohydrate metabolic process,10,106,6.607331470760553e-6,TRUE,YAL038W YCR012W YGR192C YHR104W YJL034W YKL035W YKL038W YLL026W YML100W YPR160W
catabolic process,21,615,6.092663290581749e-4,TRUE,YAL005C YAL038W YBR082C YBR101C YBR169C YBR170C YCL050C YCR012W YER035W YER037W YGR192C YHR104W YJL034W YJL144W YLL024C YNL007C YNL064C YOL082W YPL106C YPL250C YPR160W
transmembrane transport,10,195,0.0011155565829909652,FALSE,YAL005C YBL075C YDL022W YER103W YGL008C YJL034W YJR045C YLL024C YLR259C YOR020C
nucleobase-containing small molecule metabolic process,9,172,0.0017379019618665266,FALSE,YAL038W YBR117C YCL050C YCR012W YDL022W YER037W YGL037C YGR192C YKL035W
oligosaccharide metabolic process,3,16,0.001987773555667825,FALSE,YKL035W YLL026W YML100W
generation of precursor metabolites and energy,7,115,0.002468510816807279,FALSE,YAL038W YBR117C YCR012W YGR192C YJR048W YKL035W YPR160W
response to stress,17,503,0.0025162698362923507,FALSE,YBR072W YBR170C YDR258C YER037W YFL014W YFL016C YHR104W YJL034W YJL144W YLL026W YLR109W YMR186W YNL007C YNL064C YOL082W YOR007C YPL240C
plasma membrane organization,2,7,0.005194829399260455,FALSE,YFL014W YMR251W-A
protein targeting,7,133,0.005548843744242501,FALSE,YAL005C YLR050C YNL064C YOR007C YOR027W YPL240C YPL250C
nucleobase-containing compound catabolic process,7,165,0.017122845519800502,FALSE,YAL038W YBR170C YCL050C YCR012W YER035W YER037W YGR192C
response to chemical,9,281,0.03753037832494032,FALSE,YBR170C YFL014W YHR104W YJL034W YJL144W YLR109W YNL007C YNL064C YOL082W
nuclear transport,6,156,0.040433569096004394,FALSE,YAL005C YDR214W YER036C YLL024C YNL007C YNL064C
nucleocytoplasmic transport,6,156,0.040433569096004394,FALSE,YAL005C YDR214W YER036C YLL024C YNL007C YNL064C
cell death,2,23,0.05294070644361188,FALSE,YGR192C YHR049W
response to osmotic stress,3,54,0.05675974920559367,FALSE,YFL014W YHR104W YPL240C
protein modification by small protein conjugation or removal,4,99,0.07654767159615167,FALSE,YAL005C YBR082C YDR313C YLL039C
transport,19,874,0.10768304022888847,FALSE,YAL005C YBL075C YBR170C YDL022W YDL091C YDR214W YER036C YER103W YGL008C YGR142W YGR192C YJL034W YJR045C YLL024C YLR259C YNL007C YNL064C YOR020C YPR158W
response to oxidative stress,3,78,0.13281042287626674,FALSE,YFL014W YHR104W YLR109W
cell adhesion,1,12,0.17865127377059375,FALSE,YFL014W
homeostatic process,5,184,0.17865710297440482,FALSE,YDL022W YER037W YGR142W YLR109W YOR267C
nucleus organization,2,48,0.18298504229828755,FALSE,YJL034W YLL023C
small molecule metabolic process,12,556,0.1886241675509784,FALSE,YAL038W YBL033C YBR117C YCL050C YCR012W YDL022W YER037W YGL037C YGR192C YHR104W YKL035W YKL038W
regulation of translation,3,99,0.21709004847055416,FALSE,YER035W YHR082C YNL063W
ribosome biogenesis,1,16,0.2308883335044426,FALSE,YER036C
monocarboxylic acid metabolic process,3,105,0.24300998430099077,FALSE,YAL038W YCR012W YGR192C
mitochondrion organization,4,160,0.2620177285522449,FALSE,YDR258C YFL016C YLR259C YPL250C
cell wall organization or biogenesis,3,114,0.28275917880848916,FALSE,YBR067C YNL006W YOL109W
nucleobase-containing compound transport,3,117,0.29615991641350675,FALSE,YLL024C YNL007C YNL064C
monoatomic ion transport,2,71,0.3214637264011293,FALSE,YGL008C YGR192C
cytoskeleton organization,3,127,0.34104717777623317,FALSE,YBR170C YDR171W YNL006W
endosomal transport,2,75,0.34539823926177926,FALSE,YBR170C YGR142W
response to starvation,1,26,0.3475610223781841,FALSE,YER037W
organelle assembly,2,76,0.3513429621972708,FALSE,YGL008C YPL250C
protein maturation,2,78,0.3631783931238076,FALSE,YLR259C YPL240C
translational elongation,1,31,0.39915939962902247,FALSE,YNL063W
vitamin metabolic process,1,32,0.4089847789354406,FALSE,YBL033C
anatomical structure development,1,33,0.4186514875201406,FALSE,YDR155C
translational initiation,1,36,0.4467246909988386,FALSE,YNL007C
amino acid transport,1,40,0.48208325118616036,FALSE,YGR142W
peroxisome organization,1,40,0.48208325118616036,FALSE,YDL022W
regulation of DNA metabolic process,2,106,0.5180082339054813,FALSE,YGL037C YPL240C
sporulation,1,46,0.5309782873933091,FALSE,YDR155C
protein-RNA complex assembly,2,120,0.58577684312226,FALSE,YMR186W YPL240C
cellular respiration,1,56,0.6025392505102246,FALSE,YJR048W
ribosomal subunit export from nucleus,1,58,0.6154999432129722,FALSE,YER036C
telomere organization,1,58,0.6154999432129722,FALSE,YMR186W
RNA catabolic process,2,128,0.6212908147037686,FALSE,YBR170C YER035W
vacuole organization,1,63,0.6461042441043799,FALSE,YPL250C
vesicle organization,1,63,0.6461042441043799,FALSE,YOL082W
regulation of organelle organization,3,205,0.6548498060376382,FALSE,YDR155C YPL240C YPR154W
organelle fusion,1,71,0.6901418750016151,FALSE,YJL034W
membrane organization,2,146,0.6926651084374427,FALSE,YFL014W YMR251W-A
anatomical structure formation involved in morphogenesis,1,73,0.7002773316792601,FALSE,YDR155C
protein-containing complex assembly,5,375,0.7409686697460953,FALSE,YLR218C YLR259C YMR186W YOR020C YPL240C
endocytosis,1,82,0.7419823605849474,FALSE,YDL091C
cellular component assembly,7,534,0.781138068004794,FALSE,YGL008C YLR218C YLR259C YMR186W YOR020C YPL240C YPL250C
cytoplasmic translation,1,96,0.79574008119748,FALSE,YAL005C
intracellular monoatomic ion homeostasis,1,116,0.8538802773192069,FALSE,YOR267C
regulation of cell cycle,2,209,0.8608812940267814,FALSE,YDR155C YGR250C
signal transduction,2,215,0.871520310243397,FALSE,YHR082C YNL006W
vesicle-mediated transport,3,317,0.8975522412793315,FALSE,YBR170C YDL091C YGR142W
