term,group_count,overall_count,exact_pval,sig,genes
lipid metabolic process,9,249,2.582910471900042e-4,TRUE,YBR177C YDR147W YER026C YER043C YHL020C YJL167W YJR073C YLR168C YOR317W
small molecule metabolic process,13,556,7.190596358146806e-4,TRUE,YBL015W YBR177C YCR005C YDL125C YDR502C YER043C YGL062W YHR018C YJL153C YJL167W YJR105W YOL059W YOR317W
biosynthetic process,15,973,0.016445113298926665,FALSE,YBR177C YDL075W YDR147W YDR502C YER026C YER043C YGL062W YHL020C YHR018C YJL153C YJL167W YJR073C YLR312W-A YMR030W YNL306W
nucleobase-containing small molecule metabolic process,5,172,0.0170103371766417,FALSE,YDL125C YER043C YJR105W YOL059W YOR317W
transmembrane transport,5,195,0.027633228626697183,FALSE,YDR497C YEL069C YER017C YOR153W YPL270W
response to oxidative stress,3,78,0.030997707913504893,FALSE,YDL047W YNL036W YPL270W
sulfur compound metabolic process,3,81,0.03413771689989045,FALSE,YDR502C YER043C YOR317W
response to chemical,6,281,0.03562968083456626,FALSE,YBR066C YDL047W YFL021W YNL036W YOR153W YPL270W
lipid transport,2,57,0.08989626616749509,FALSE,YLR168C YOR317W
cell adhesion,1,12,0.10122502154770407,FALSE,YBR066C
carbohydrate transport,1,16,0.13268731342584006,FALSE,YEL069C
amino acid metabolic process,3,173,0.19609858943723357,FALSE,YDR502C YER043C YHR018C
mitochondrial translation,2,93,0.1984221593739272,FALSE,YLR312W-A YNL306W
translation,3,189,0.233260162218062,FALSE,YDL075W YLR312W-A YNL306W
response to heat,1,30,0.23456022560651846,FALSE,YMR186W
transport,10,874,0.2353497751563037,FALSE,YDR497C YEL069C YER017C YJL151C YLR168C YNL044W YOR153W YOR317W YPL270W YPL274W
monocarboxylic acid metabolic process,2,105,0.23762078397558004,FALSE,YBL015W YBR177C
carbohydrate metabolic process,2,106,0.24091446548101825,FALSE,YGL062W YOL059W
signal transduction,3,215,0.2960622293816228,FALSE,YDL047W YHL020C YIL047C
sporulation,1,46,0.3367144160581952,FALSE,YJL048C
pseudohyphal growth,1,48,0.3485071437299686,FALSE,YDR497C
transcription by RNA polymerase II,1,55,0.3881909709282837,FALSE,YMR030W
cellular respiration,1,56,0.3936637789686588,FALSE,YMR030W
telomere organization,1,58,0.404466321290306,FALSE,YMR186W
response to stress,5,503,0.46378737203342413,FALSE,YDL047W YHL020C YMR186W YNL036W YPL270W
anatomical structure formation involved in morphogenesis,1,73,0.4797067846878087,FALSE,YJL048C
endosomal transport,1,75,0.48900913707185845,FALSE,YJL151C
protein maturation,1,78,0.5026588144006441,FALSE,YER017C
growth,1,89,0.5497272120151435,FALSE,YDR497C
protein folding,1,91,0.5578045324795495,FALSE,YMR186W
cytoplasmic translation,1,96,0.5773836845474931,FALSE,YDL075W
RNA modification,1,98,0.584975968597093,FALSE,YDL047W
cellular nitrogen compound metabolic process,12,1386,0.5961376163994963,FALSE,YDL047W YDL075W YDL125C YDR299W YER043C YJR105W YLR312W-A YMR030W YMR186W YNL306W YOL059W YOR317W
DNA-templated transcription,1,103,0.6033785715892424,FALSE,YMR030W
tRNA processing,1,104,0.606962249131092,FALSE,YDL047W
cell wall organization or biogenesis,1,114,0.6411033949239247,FALSE,YEL040W
generation of precursor metabolites and energy,1,115,0.6443537222234763,FALSE,YMR030W
intracellular monoatomic ion homeostasis,1,116,0.6475752916240219,FALSE,YOR153W
protein-RNA complex assembly,1,120,0.6601789276306285,FALSE,YMR186W
membrane organization,1,146,0.732010224529576,FALSE,YLR168C
mitochondrion organization,1,160,0.7643058796847536,FALSE,YLR168C
nucleobase-containing compound catabolic process,1,165,0.7748921465041541,FALSE,YER043C
vesicle-mediated transport,2,317,0.781199662622621,FALSE,YJL151C YNL044W
Golgi vesicle transport,1,169,0.7830254513780806,FALSE,YNL044W
DNA metabolic process,2,321,0.7872270249584723,FALSE,YDL047W YMR186W
tRNA metabolic process,1,179,0.8021235004341158,FALSE,YDL047W
chromosome organization,1,181,0.805741064292201,FALSE,YMR186W
homeostatic process,1,184,0.8110465903565489,FALSE,YOR153W
catabolic process,4,615,0.8118643699448654,FALSE,YBR177C YER043C YJL048C YJL151C
proteolysis involved in protein catabolic process,1,186,0.8145046984843036,FALSE,YJL048C
regulation of organelle organization,1,205,0.844420176840723,FALSE,YDL047W
DNA repair,1,208,0.8486910135866539,FALSE,YDL047W
protein-containing complex assembly,2,375,0.8556553300136529,FALSE,YER017C YMR186W
cellular component assembly,3,534,0.8666068504236908,FALSE,YDR129C YER017C YMR186W
rRNA processing,1,233,0.8800994121782644,FALSE,YDR299W
DNA damage response,1,249,0.8967558565807666,FALSE,YDL047W
