term,group_count,overall_count,exact_pval,sig,genes
lipid metabolic process,15,249,5.159595880023707e-9,TRUE,YBR177C YDR147W YER026C YGR157W YHL020C YHR123W YJL167W YJR073C YKL182W YLR133W YNL130C YNL169C YNR016C YOL108C YOR317W
biosynthetic process,23,973,8.233065887158496e-6,TRUE,YBR177C YDR147W YDR502C YER026C YER091C YGL062W YGR157W YHL020C YHR018C YHR123W YJL153C YJL167W YJR073C YJR103W YKL182W YLR133W YLR153C YNL129W YNL130C YNL169C YNR016C YOL108C YOR344C
small molecule metabolic process,14,556,5.360531197234216e-4,TRUE,YBR177C YDR502C YER091C YGL062W YHR018C YJL153C YJL167W YJR103W YJR105W YKL182W YLR153C YNL129W YNR016C YOR317W
sulfur compound metabolic process,4,81,0.007421044458450451,FALSE,YDR502C YER091C YLR153C YOR317W
nucleobase-containing small molecule metabolic process,5,172,0.02421704456732148,FALSE,YJR103W YJR105W YLR153C YNL129W YOR317W
monocarboxylic acid metabolic process,3,105,0.08022832574833717,FALSE,YBR177C YKL182W YNR016C
cell adhesion,1,12,0.11014671889439231,FALSE,YBR066C
amino acid metabolic process,3,173,0.233601535212511,FALSE,YDR502C YER091C YHR018C
response to heat,1,30,0.2534493470553212,FALSE,YMR186W
cell wall organization or biogenesis,2,114,0.30236251309116413,FALSE,YEL040W YIL119C
sno(s)RNA processing,1,37,0.302850630152804,FALSE,YGR280C
signal transduction,3,215,0.34524529706266927,FALSE,YHL020C YIL047C YIL119C
sporulation,1,46,0.36168745959355475,FALSE,YJL048C
pseudohyphal growth,1,48,0.37408670540972466,FALSE,YDR497C
cellular respiration,1,56,0.42136889901560426,FALSE,YNL169C
lipid transport,1,57,0.42702758851753253,FALSE,YOR317W
telomere organization,1,58,0.4326321053416068,FALSE,YMR186W
nuclear transport,2,156,0.44850968787240275,FALSE,YJR074W YNR016C
nucleocytoplasmic transport,2,156,0.44850968787240275,FALSE,YJR074W YNR016C
DNA-templated transcription elongation,1,61,0.44912567100475,FALSE,YOR344C
anatomical structure formation involved in morphogenesis,1,73,0.5105333889054104,FALSE,YJL048C
organelle assembly,1,76,0.5248064773244845,FALSE,YNL169C
protein maturation,1,78,0.5340947107328884,FALSE,YNL169C
growth,1,89,0.5820903690721426,FALSE,YDR497C
protein folding,1,91,0.5902810599108197,FALSE,YMR186W
regulation of organelle organization,2,205,0.5961809792430208,FALSE,YGR280C YNL169C
carbohydrate metabolic process,1,106,0.6468999017279082,FALSE,YGL062W
regulation of DNA metabolic process,1,106,0.6468999017279082,FALSE,YGR280C
generation of precursor metabolites and energy,1,115,0.6771159522864898,FALSE,YNL169C
protein-RNA complex assembly,1,120,0.6927933833015687,FALSE,YMR186W
response to chemical,2,281,0.7649798416731663,FALSE,YBR066C YFL021W
transport,7,874,0.7669832798173161,FALSE,YDR497C YGL077C YJR074W YNL044W YNR016C YOR273C YOR317W
Golgi vesicle transport,1,169,0.8119067381192386,FALSE,YNL044W
chromosome organization,1,181,0.8333308715254992,FALSE,YMR186W
proteolysis involved in protein catabolic process,1,186,0.841535242606061,FALSE,YJL048C
transmembrane transport,1,195,0.8553185659893692,FALSE,YDR497C
chromatin organization,1,216,0.8830766948879236,FALSE,YIR033W
cellular component assembly,3,534,0.9031500058564437,FALSE,YDR129C YMR186W YNL169C
catabolic process,3,615,0.9479964671626789,FALSE,YBR177C YIR032C YJL048C
vesicle-mediated transport,1,317,0.9585990459547183,FALSE,YNL044W
DNA metabolic process,1,321,0.9602857276760115,FALSE,YMR186W
response to stress,2,503,0.9627675041992706,FALSE,YHL020C YMR186W
protein-containing complex assembly,1,375,0.9774312004408603,FALSE,YMR186W
cellular nitrogen compound metabolic process,8,1386,0.9774736695871868,FALSE,YGR280C YJR103W YJR105W YLR153C YMR186W YNL129W YOR317W YOR344C
