term,group_count,overall_count,exact_pval,sig,genes
amino acid metabolic process,10,173,3.475236848758598e-10,TRUE,YGL009C YGL125W YHR208W YJR016C YKL029C YLR355C YMR108W YNL104C YOR375C YPL160W
small molecule metabolic process,14,556,1.1724116382117457e-9,TRUE,YER073W YGL009C YGL125W YHR208W YJR016C YKL029C YLR355C YMR108W YNL071W YNL103W YNL104C YNL241C YOR375C YPL160W
sulfur compound metabolic process,4,81,2.8343940096682384e-4,TRUE,YGL125W YNL071W YNL103W YOR226C
biosynthetic process,10,973,0.0025905504774303358,FALSE,YER073W YGL009C YGL125W YHR208W YJR016C YLR355C YMR108W YNL071W YNL104C YOR375C
monocarboxylic acid metabolic process,3,105,0.008550429440047299,FALSE,YER073W YKL029C YNL071W
response to oxidative stress,2,78,0.04007405500842687,FALSE,YNL241C YOL052C-A
protein phosphorylation,1,18,0.07163156799328663,FALSE,YMR291W
response to starvation,1,26,0.10187814836006892,FALSE,YOL052C-A
response to chemical,3,281,0.10536492822801087,FALSE,YNL103W YNL241C YOL052C-A
response to heat,1,30,0.11664805713673032,FALSE,YOL052C-A
tRNA aminoacylation for protein translation,1,36,0.13837097707195078,FALSE,YPL160W
nucleobase-containing small molecule metabolic process,2,172,0.15633150373748578,FALSE,YNL071W YNL241C
tRNA metabolic process,2,179,0.16653974993037995,FALSE,YOR226C YPL160W
peptidyl-amino acid modification,1,49,0.18370921507965476,FALSE,YMR291W
RNA modification,1,98,0.335054734606831,FALSE,YOR226C
tRNA processing,1,104,0.3516377898534775,FALSE,YOR226C
generation of precursor metabolites and energy,1,115,0.38102475989145135,FALSE,YNL241C
intracellular monoatomic ion homeostasis,1,116,0.38363261849734387,FALSE,YOR226C
mitochondrion organization,1,160,0.4885839903213025,FALSE,YLR355C
homeostatic process,1,184,0.5384317909707474,FALSE,YOR226C
chromatin organization,1,216,0.5977520712965761,FALSE,YMR037C
response to stress,2,503,0.6282851135880361,FALSE,YNL241C YOL052C-A
DNA damage response,1,249,0.6513004497856911,FALSE,YOL052C-A
cellular nitrogen compound metabolic process,5,1386,0.716584173468724,FALSE,YNL071W YNL241C YOR226C YOR375C YPL160W
cellular component assembly,1,534,0.9028716553734261,FALSE,YOR226C
catabolic process,1,615,0.9334908444484016,FALSE,YHR208W
transport,1,874,0.9811603263120202,FALSE,YKL120W
