term,group_count,overall_count,exact_pval,sig,genes
DNA repair,4,208,8.491440796112263e-4,TRUE,YBL003C YDL101C YDR263C YLR103C
DNA damage response,4,249,0.0016691233082609341,FALSE,YBL003C YDL101C YDR263C YLR103C
response to stress,5,503,0.0031699612582688505,FALSE,YBL003C YDL101C YDR263C YLR103C YMR214W
DNA metabolic process,4,321,0.004253376545397998,FALSE,YBL003C YDL101C YDR263C YLR103C
protein folding,2,91,0.017081793754077243,FALSE,YHR142W YMR214W
nucleobase-containing small molecule metabolic process,2,172,0.05550722974942139,FALSE,YGR180C YOR074C
cellular nitrogen compound metabolic process,6,1386,0.06257505396766572,FALSE,YBL003C YDL101C YDR263C YGR180C YLR103C YOR074C
proteolysis involved in protein catabolic process,2,186,0.06382780972750118,FALSE,YER094C YMR214W
translational elongation,1,31,0.06800980786947053,FALSE,YAL003W
regulation of cell cycle,2,209,0.07838241309789783,FALSE,YDL101C YKL185W
biosynthetic process,4,973,0.16145849222788244,FALSE,YAL003W YGR180C YHR142W YOR074C
regulation of translation,1,99,0.20270391064194093,FALSE,YAL003W
DNA recombination,1,118,0.23703501632828428,FALSE,YLR103C
Golgi vesicle transport,1,169,0.3226479951411313,FALSE,YHR142W
small molecule metabolic process,2,556,0.36376647142745533,FALSE,YGR180C YOR074C
regulation of organelle organization,1,205,0.37771757249592475,FALSE,YAL003W
signal transduction,1,215,0.3922747749153537,FALSE,YDL101C
chromatin organization,1,216,0.3937133325817903,FALSE,YBL003C
catabolic process,2,615,0.4144534365292898,FALSE,YER094C YMR214W
response to chemical,1,281,0.4808451599642667,FALSE,YMR214W
vesicle-mediated transport,1,317,0.5240458730565961,FALSE,YHR142W
transport,1,874,0.8872117809321353,FALSE,YHR142W
