term,group_count,overall_count,exact_pval,sig,genes
sulfur compound metabolic process,6,81,4.867491719623447e-10,TRUE,YAL012W YLL058W YLL062C YLR303W YNL277W YPL135W
amino acid metabolic process,3,173,0.00217543614882734,FALSE,YAL012W YLR303W YNL277W
small molecule metabolic process,4,556,0.008136624013524236,FALSE,YAL012W YLL062C YLR303W YNL277W
response to heat,1,30,0.04834348614381778,FALSE,YBR072W
amino acid transport,1,40,0.06399699378070434,FALSE,YGR055W
protein folding,1,91,0.14037716744159434,FALSE,YBR072W
RNA modification,1,98,0.1504227323929369,FALSE,YPL135W
tRNA processing,1,104,0.15895130699181526,FALSE,YPL135W
intracellular monoatomic ion homeostasis,1,116,0.17578400025845398,FALSE,YPL135W
biosynthetic process,3,973,0.2033996048450449,FALSE,YAL012W YLR303W YNL277W
tRNA metabolic process,1,179,0.2594098590368038,FALSE,YPL135W
homeostatic process,1,184,0.2657167433734109,FALSE,YPL135W
transmembrane transport,1,195,0.2794267108405062,FALSE,YGR055W
response to stress,1,503,0.5828556230932551,FALSE,YBR072W
cellular component assembly,1,534,0.6060242837783701,FALSE,YPL135W
transport,1,874,0.7953683506707359,FALSE,YGR055W
cellular nitrogen compound metabolic process,1,1386,0.9319042498035617,FALSE,YPL135W
