term,group_count,overall_count,exact_pval,sig,genes
cell death,1,23,0.07317097620476454,FALSE,YNL180C
signal transduction,2,215,0.15586345864219484,FALSE,YDR422C YOR107W
response to oxidative stress,1,78,0.2283074218719069,FALSE,YNL180C
mitochondrial translation,1,93,0.2661819191663377,FALSE,YDR041W
small molecule metabolic process,3,556,0.2741971337240039,FALSE,YGL154C YGR248W YHR007C
cell wall organization or biogenesis,1,114,0.31628646827937446,FALSE,YOL109W
generation of precursor metabolites and energy,1,115,0.31859047344102776,FALSE,YGR248W
protein targeting,1,133,0.35883820130057187,FALSE,YNL051W
Golgi vesicle transport,1,169,0.43273921896224266,FALSE,YNL051W
nucleobase-containing small molecule metabolic process,1,172,0.43852263178895945,FALSE,YGR248W
amino acid metabolic process,1,173,0.44043811961228063,FALSE,YGL154C
chromosome organization,1,181,0.45554295934115174,FALSE,YGR002C
translation,1,189,0.4702648945815795,FALSE,YDR041W
DNA repair,1,208,0.5037475198972514,FALSE,YGR002C
response to stress,2,503,0.5044790901000552,FALSE,YGR002C YNL180C
chromatin organization,1,216,0.5172429891063564,FALSE,YGR002C
DNA damage response,1,249,0.5693582302817528,FALSE,YGR002C
lipid metabolic process,1,249,0.5693582302817528,FALSE,YHR007C
response to chemical,1,281,0.6148175855316739,FALSE,YNL180C
biosynthetic process,3,973,0.6492973937401134,FALSE,YDR041W YGL154C YHR007C
vesicle-mediated transport,1,317,0.6605673076743677,FALSE,YNL051W
DNA metabolic process,1,321,0.6653233794988038,FALSE,YGR002C
transport,2,874,0.8113857807280875,FALSE,YNL051W YOR273C
cellular nitrogen compound metabolic process,3,1386,0.877357765231034,FALSE,YDR041W YGR002C YGR248W
