term,group_count,overall_count,exact_pval,sig,genes
amino acid transport,2,40,0.017577715043998444,FALSE,YCL025C YPL265W
amino acid metabolic process,3,173,0.05742886016659411,FALSE,YDR380W YOR303W YPL111W
response to oxidative stress,2,78,0.06011979618518524,FALSE,YLR109W YNL036W
sulfur compound metabolic process,2,81,0.06426461553319193,FALSE,YDR380W YPL135W
cytoplasmic translation,2,96,0.08635108596587537,FALSE,YAL005C YNL178W
protein modification by small protein conjugation or removal,2,99,0.09101648336582174,FALSE,YAL005C YNL077W
cell wall organization or biogenesis,2,114,0.1154051497138598,FALSE,YBR067C YKL096W-A
small molecule metabolic process,5,556,0.14991254762089756,FALSE,YDR380W YJR019C YLR056W YOR303W YPL111W
response to chemical,3,281,0.1729792323920158,FALSE,YLR109W YNL036W YPR065W
nuclear transport,2,156,0.1906102470543597,FALSE,YAL005C YNL178W
nucleocytoplasmic transport,2,156,0.1906102470543597,FALSE,YAL005C YNL178W
catabolic process,5,615,0.20209383014512192,FALSE,YAL005C YDR380W YJR019C YNL178W YPL111W
peptidyl-amino acid modification,1,49,0.22420149572373382,FALSE,YNL077W
homeostatic process,2,184,0.24397676485499184,FALSE,YLR109W YPL135W
response to osmotic stress,1,54,0.24414998880210992,FALSE,YPR065W
translation,2,189,0.25362889398065563,FALSE,YAL005C YNL178W
ribosomal subunit export from nucleus,1,58,0.2597533047437445,FALSE,YNL178W
transmembrane transport,2,195,0.26523446522067096,FALSE,YAL005C YCL025C
endocytosis,1,82,0.34707651967064146,FALSE,YGL045W
lipid metabolic process,2,249,0.3690969194566833,FALSE,YJR019C YLR056W
protein folding,1,91,0.3771998742744679,FALSE,YAL005C
RNA modification,1,98,0.39970208604414814,FALSE,YPL135W
tRNA processing,1,104,0.4183665831923863,FALSE,YPL135W
monocarboxylic acid metabolic process,1,105,0.42142266461739486,FALSE,YJR019C
generation of precursor metabolites and energy,1,115,0.45114764954689845,FALSE,YIL057C
intracellular monoatomic ion homeostasis,1,116,0.45403817172118277,FALSE,YPL135W
transport,5,874,0.4768973464705064,FALSE,YAL005C YCL025C YGL045W YNL178W YPL265W
response to stress,3,503,0.4868131396034785,FALSE,YLR109W YNL036W YPR065W
RNA catabolic process,1,128,0.48760433827450045,FALSE,YNL178W
protein targeting,1,133,0.5009974616836277,FALSE,YAL005C
nucleobase-containing compound catabolic process,1,165,0.5790838829936733,FALSE,YNL178W
biosynthetic process,5,973,0.5811445022659427,FALSE,YAL005C YDR380W YLR056W YNL178W YOR303W
tRNA metabolic process,1,179,0.609426944093506,FALSE,YPL135W
proteolysis involved in protein catabolic process,1,186,0.6237997304096005,FALSE,YAL005C
regulation of organelle organization,1,205,0.6602977600781983,FALSE,YPR154W
vesicle-mediated transport,1,317,0.8154569159319748,FALSE,YGL045W
cellular component assembly,1,534,0.9458636112847416,FALSE,YPL135W
cellular nitrogen compound metabolic process,4,1386,0.9541027196096215,FALSE,YAL005C YDR380W YNL178W YPL135W
