term,group_count,overall_count,exact_pval,sig,genes
protein folding,14,91,7.158470514970191e-9,TRUE,YBL075C YBR072W YBR169C YDR214W YDR258C YER103W YFL016C YGR142W YLL026W YML130C YNL007C YNL281W YOR027W YPL240C
response to heat,8,30,1.6752164008530792e-7,TRUE,YBR072W YDR258C YFL014W YFL016C YLL026W YNL007C YOL052C-A YOR007C
carbohydrate metabolic process,13,106,4.053302912869418e-7,TRUE,YBR126C YBR149W YCL040W YDR074W YER062C YFR053C YHR104W YKL035W YLL026W YLR258W YML100W YOR120W YPR160W
nucleobase-containing small molecule metabolic process,15,172,4.212286649520032e-6,TRUE,YBR117C YCL040W YDL022W YFR053C YGL037C YGR248W YGR256W YJL116C YKL035W YKR080W YMR120C YMR271C YMR315W YOR317W YOR374W
oligosaccharide metabolic process,5,16,1.6996877288317517e-5,TRUE,YBR126C YDR074W YKL035W YLL026W YML100W
generation of precursor metabolites and energy,11,115,3.7470415718081845e-5,TRUE,YBR117C YCL040W YFR053C YGR248W YGR256W YKL035W YKL085W YLR258W YMR315W YOR374W YPR160W
small molecule metabolic process,27,556,4.885904290522688e-5,TRUE,YBR117C YBR149W YCL040W YDL022W YDL124W YER062C YFR053C YGL037C YGR248W YGR255C YGR256W YHR104W YHR137W YJL068C YJL116C YKL035W YKR080W YLR438W YML054C YMR120C YMR169C YMR271C YMR315W YNL277W YOR120W YOR317W YOR374W
response to oxidative stress,7,78,0.0015126484318338023,FALSE,YDL124W YFL014W YGR043C YGR088W YHR104W YOL052C-A YOR120W
carbohydrate transport,3,16,0.004715665428856451,FALSE,YCL040W YFR053C YHR096C
response to stress,20,503,0.006218106040266363,FALSE,YBR072W YBR126C YDL124W YDR258C YER062C YFL014W YFL016C YFL031W YGR043C YGR088W YHR104W YIL113W YJL164C YLL026W YNL007C YOL052C-A YOL082W YOR007C YOR120W YPL240C
response to chemical,12,281,0.020015385938216165,FALSE,YBR126C YDL124W YFL014W YGR043C YGR088W YHR104W YNL007C YNL155W YOL052C-A YOL082W YOR018W YOR120W
cell morphogenesis,2,12,0.027436843156334625,FALSE,YDL223C YPL123C
response to osmotic stress,4,54,0.03027685144503834,FALSE,YER062C YFL014W YHR104W YPL240C
proteolysis involved in protein catabolic process,8,186,0.05164114700862412,FALSE,YBL075C YBR169C YDR363W-A YEL012W YFL016C YNL007C YNL155W YOL082W
nuclear transport,6,156,0.1285372178294148,FALSE,YDR214W YDR363W-A YJL164C YMR304W YNL007C YOR230W
nucleocytoplasmic transport,6,156,0.1285372178294148,FALSE,YDR214W YDR363W-A YJL164C YMR304W YNL007C YOR230W
transmembrane transport,7,195,0.13731071478999013,FALSE,YBL075C YCL040W YDL022W YER103W YFR053C YHL036W YHR096C
plasma membrane organization,1,7,0.1443291865651365,FALSE,YFL014W
anatomical structure development,2,33,0.1635756391841187,FALSE,YDL222C YNL194C
catabolic process,17,615,0.19274219586666888,FALSE,YBR169C YCL040W YDR058C YDR363W-A YEL012W YER163C YFR053C YHR104W YJL068C YMR169C YMR174C YNL007C YNL155W YOL082W YOR120W YPL123C YPR160W
monocarboxylic acid metabolic process,4,105,0.19994899181312414,FALSE,YCL040W YFR053C YML054C YOR374W
anatomical structure formation involved in morphogenesis,3,73,0.21652531649309872,FALSE,YDL222C YNL194C YOL048C
amino acid transport,2,40,0.21965868440156186,FALSE,YGR142W YHL036W
cell adhesion,1,12,0.2345903607105677,FALSE,YFL014W
sporulation,2,46,0.26887470672359803,FALSE,YDL222C YNL194C
protein phosphorylation,1,18,0.3305287691210179,FALSE,YJL164C
protein targeting,4,133,0.33632212642805304,FALSE,YKL103C YOR007C YOR027W YPL240C
cell death,1,23,0.40130186429773496,FALSE,YPL123C
vacuole organization,2,63,0.40590670847758425,FALSE,YHR138C YNL015W
response to starvation,1,26,0.44015325566402075,FALSE,YOL052C-A
cell wall organization or biogenesis,3,114,0.4616677824132154,FALSE,YDL222C YNL006W YOL048C
organelle fusion,2,71,0.46635439484228525,FALSE,YHR138C YNL015W
nucleobase-containing compound transport,3,117,0.4788509190421514,FALSE,YDR363W-A YMR304W YNL007C
translational elongation,1,31,0.4994310190679908,FALSE,YNL063W
signal transduction,5,215,0.5164508932783449,FALSE,YFL026W YFL031W YIL113W YJL164C YNL006W
amino acid metabolic process,4,173,0.5332773992363258,FALSE,YHR137W YLR438W YMR169C YNL277W
sulfur compound metabolic process,2,81,0.5366289845118797,FALSE,YNL277W YOR317W
translational initiation,1,36,0.5524847737254341,FALSE,YNL007C
peroxisome organization,1,40,0.5908842429659262,FALSE,YDL022W
protein modification by small protein conjugation or removal,2,99,0.6465236081140531,FALSE,YLL039C YMR304W
peptidyl-amino acid modification,1,49,0.6657565094876016,FALSE,YJL164C
regulation of DNA metabolic process,2,106,0.6833962213031548,FALSE,YGL037C YPL240C
mitochondrion organization,3,160,0.6910608122242724,FALSE,YDR258C YFL016C YHL021C
nucleobase-containing compound catabolic process,3,165,0.7110607790305356,FALSE,YCL040W YFR053C YPL123C
cellular respiration,1,56,0.7144565105104055,FALSE,YKL085W
lipid transport,1,57,0.7208138041798575,FALSE,YOR317W
vesicle organization,1,63,0.7561174307482974,FALSE,YOL082W
transport,17,874,0.7574903828696434,FALSE,YBL075C YCL040W YDL022W YDR214W YDR363W-A YER103W YFR053C YGR142W YGR284C YHL036W YHR096C YJL164C YMR304W YNL007C YOR018W YOR230W YOR317W
cytoskeleton organization,2,127,0.7755765385339978,FALSE,YDR171W YNL006W
homeostatic process,3,184,0.7781328368351467,FALSE,YDL022W YGR142W YOR018W
endosomal transport,1,75,0.8139921062727953,FALSE,YGR142W
protein maturation,1,78,0.8261909335648937,FALSE,YPL240C
regulation of organelle organization,3,205,0.8369891602997955,FALSE,YJL164C YPL240C YPR154W
endocytosis,1,82,0.8412313488287305,FALSE,YOR018W
regulation of transport,1,82,0.8412313488287305,FALSE,YOR018W
growth,1,89,0.8645134394808673,FALSE,YDR363W-A
biosynthetic process,17,973,0.8906195600940179,FALSE,YBR126C YDR074W YER062C YGL037C YGR255C YHR137W YJL116C YKL035W YKR080W YLR258W YML100W YMR120C YMR169C YMR271C YNL063W YNL277W YOR374W
regulation of translation,1,99,0.892022020374327,FALSE,YNL063W
chromosome organization,2,181,0.9137778259775331,FALSE,YDR363W-A YMR201C
protein-RNA complex assembly,1,120,0.9330617942881307,FALSE,YPL240C
RNA catabolic process,1,128,0.9442403145354299,FALSE,YPL123C
membrane organization,1,146,0.9630786695200177,FALSE,YFL014W
vesicle-mediated transport,3,317,0.9746695485628942,FALSE,YGR142W YGR284C YOR018W
DNA damage response,2,249,0.9766442098439597,FALSE,YJL164C YOL052C-A
lipid metabolic process,2,249,0.9766442098439597,FALSE,YDR058C YOR317W
Golgi vesicle transport,1,169,0.9782483765618537,FALSE,YGR284C
DNA repair,1,208,0.9911846575738458,FALSE,YJL164C
protein-containing complex assembly,3,375,0.9913227038828478,FALSE,YDR231C YDR363W-A YPL240C
regulation of cell cycle,1,209,0.9913873308956331,FALSE,YDR363W-A
chromatin organization,1,216,0.9926824409423414,FALSE,YGL037C
DNA metabolic process,2,321,0.9946199844721264,FALSE,YDR363W-A YJL164C
cellular nitrogen compound metabolic process,19,1386,0.9968694528003204,FALSE,YBR117C YCL040W YDL022W YDR363W-A YFR053C YGL037C YGR248W YGR256W YHR087W YJL116C YJL164C YKL035W YKR080W YMR120C YMR271C YMR315W YOR317W YOR374W YPL123C
cellular component assembly,4,534,0.9983024659275415,FALSE,YDR231C YDR363W-A YOL048C YPL240C
