term,group_count,overall_count,exact_pval,sig,genes
carbohydrate metabolic process,12,106,8.050897627465264e-9,TRUE,YAL038W YBR126C YDR074W YDR516C YEL011W YFR015C YIL053W YLL026W YML100W YMR261C YOR178C YPR160W
oligosaccharide metabolic process,5,16,1.323322373081439e-6,TRUE,YBR126C YDR074W YLL026W YML100W YMR261C
generation of precursor metabolites and energy,9,115,1.58675245270317e-5,TRUE,YAL038W YBR010W YEL011W YER067W YFR015C YGR248W YNL241C YOR178C YPR160W
response to heat,4,30,5.802116402328635e-4,TRUE,YFL014W YLL026W YOR178C YPL004C
anatomical structure formation involved in morphogenesis,5,73,0.0025545985886779223,FALSE,YBR010W YDR512C YDR516C YGL054C YOL048C
sporulation,4,46,0.002951285972394391,FALSE,YBR010W YDR512C YDR516C YGL054C
anatomical structure development,3,33,0.008968394631104312,FALSE,YDR512C YDR516C YGL054C
cell adhesion,2,12,0.010345613318667235,FALSE,YBR066C YFL014W
response to oxidative stress,4,78,0.018868549730949435,FALSE,YDL124W YDR513W YFL014W YNL241C
response to stress,12,503,0.029395603213587373,FALSE,YBR010W YBR126C YDL124W YDR513W YFL014W YFL031W YIL053W YLL026W YMR173W YNL241C YOR178C YPL004C
response to chemical,7,281,0.07471917059475298,FALSE,YBR066C YBR126C YDL124W YDR513W YFL014W YNL241C YPL016W
plasma membrane organization,1,7,0.08863576755653335,FALSE,YFL014W
sulfur compound metabolic process,3,81,0.09018411461175405,FALSE,YGL126W YGR155W YGR209C
small molecule metabolic process,11,556,0.10912796245496467,FALSE,YAL038W YDL124W YDR127W YDR354W YDR516C YGL126W YGR155W YGR248W YIL053W YKL029C YNL241C
signal transduction,5,215,0.15189410691481453,FALSE,YDR379W YFL031W YIL119C YJL141C YOR178C
response to osmotic stress,2,54,0.15834907833701825,FALSE,YFL014W YIL053W
nucleobase-containing small molecule metabolic process,4,172,0.18992107787936077,FALSE,YAL038W YGL126W YGR248W YNL241C
vacuole organization,2,63,0.20097395143945362,FALSE,YGR209C YLR093C
vesicle organization,2,63,0.20097395143945362,FALSE,YDL195W YLR093C
homeostatic process,4,184,0.22294711491248798,FALSE,YBR010W YER053C YGL126W YGR209C
organelle fusion,2,71,0.23988260150689297,FALSE,YGR209C YLR093C
meiotic cell cycle,1,22,0.2533444324315429,FALSE,YOR178C
biosynthetic process,15,973,0.29394325252382336,FALSE,YBR010W YBR126C YDR074W YDR127W YDR354W YEL011W YFR015C YGL126W YGR155W YIL053W YKR062W YML100W YMR261C YMR296C YOR369C
cell budding,1,27,0.3014410543194992,FALSE,YGL054C
cell division,1,27,0.3014410543194992,FALSE,YGL054C
membrane organization,3,146,0.3018505311636786,FALSE,YDL195W YFL014W YLR093C
chromatin organization,4,216,0.3169545262836471,FALSE,YBR010W YLR055C YMR037C YPL016W
