term,group_count,overall_count,exact_pval,sig,genes
response to heat,2,30,7.586195309897006e-4,TRUE,YBR072W YOL052C-A
response to oxidative stress,2,78,0.00506680847289175,FALSE,YGR088W YOL052C-A
protein folding,2,91,0.006847580986409953,FALSE,YBR072W YER103W
monocarboxylic acid metabolic process,2,105,0.009042252171341287,FALSE,YJL196C YOR374W
nucleobase-containing small molecule metabolic process,2,172,0.023250325175931275,FALSE,YDL022W YOR374W
response to stress,3,503,0.0280638535891761,FALSE,YBR072W YGR088W YOL052C-A
transmembrane transport,2,195,0.02943092930556661,FALSE,YDL022W YER103W
small molecule metabolic process,3,556,0.03662178807544876,FALSE,YDL022W YJL196C YOR374W
response to starvation,1,26,0.036860332857527434,FALSE,YOL052C-A
peroxisome organization,1,40,0.056221267872340275,FALSE,YDL022W
response to chemical,2,281,0.05765100882006916,FALSE,YGR088W YOL052C-A
generation of precursor metabolites and energy,1,115,0.15436206618375903,FALSE,YOR374W
homeostatic process,1,184,0.23679186235879024,FALSE,YDL022W
DNA damage response,1,249,0.3080445158473375,FALSE,YOL052C-A
lipid metabolic process,1,249,0.3080445158473375,FALSE,YJL196C
transport,2,874,0.3671237412807582,FALSE,YDL022W YER103W
biosynthetic process,2,973,0.4237930673017346,FALSE,YJL196C YOR374W
cellular nitrogen compound metabolic process,2,1386,0.6383656749837783,FALSE,YDL022W YOR374W
