term,group_count,overall_count,exact_pval,sig,genes
monocarboxylic acid metabolic process,13,105,1.0723113971579375e-13,TRUE,YDL110C YER015W YER065C YGL205W YIL160C YJR019C YKR009C YMR272C YNL009W YNL117W YOL147C YOR100C YPL095C
lipid metabolic process,13,249,6.777291491886288e-9,TRUE,YDL110C YDR072C YER015W YGL205W YIL160C YJR019C YKR009C YMR272C YNL009W YOL147C YOR084W YOR100C YPL095C
small molecule metabolic process,16,556,3.6576333774188757e-7,TRUE,YDL110C YER015W YER065C YGL205W YIL160C YJL153C YJR019C YKR009C YKR097W YMR272C YNL009W YNL117W YOL126C YOL147C YOR100C YPL095C
carbohydrate metabolic process,4,106,0.0066601987169954985,FALSE,YER065C YKR097W YNL117W YOL126C
catabolic process,10,615,0.009402716420647697,FALSE,YDR256C YEL060C YGL205W YIL160C YJR019C YKR009C YMR135C YNL009W YOR084W YPL095C
transmembrane transport,5,195,0.012051253650736848,FALSE,YCR010C YDR244W YDR384C YOL126C YOR153W
peroxisome organization,2,40,0.03311152154818664,FALSE,YDR244W YOL126C
sporulation,2,46,0.04277670747070901,FALSE,YEL060C YHL027W
response to chemical,5,281,0.048811295060645535,FALSE,YDR256C YHL027W YML007W YOR153W YOR363C
cell morphogenesis,1,12,0.08313516331110438,FALSE,YOL111C
anatomical structure formation involved in morphogenesis,2,73,0.09638664949967875,FALSE,YEL060C YHL027W
response to oxidative stress,2,78,0.1077493001618163,FALSE,YDR256C YML007W
organelle fission,1,18,0.12214484583711793,FALSE,YOL147C
homeostatic process,3,184,0.14499520047687467,FALSE,YCR010C YDR384C YOR153W
meiotic cell cycle,1,22,0.14725041493402768,FALSE,YHL027W
response to heat,1,30,0.1953862688149287,FALSE,YML007W
cell wall organization or biogenesis,2,114,0.19764760859258418,FALSE,YHL027W YKL096W-A
cell cycle,1,31,0.20121438979826423,FALSE,YHL027W
anatomical structure development,1,33,0.21274785915498817,FALSE,YHL027W
amino acid transport,1,40,0.2518549281847704,FALSE,YOR348C
cellular respiration,1,56,0.3342883287070897,FALSE,YKL085W
regulation of cell cycle,2,209,0.4480638934155128,FALSE,YHL027W YMR135C
cytoplasmic translation,1,96,0.5036451861894145,FALSE,YML063W
generation of precursor metabolites and energy,1,115,0.5686240269698509,FALSE,YKL085W
biosynthetic process,7,973,0.5698050695583705,FALSE,YDL110C YDR072C YJL153C YKR097W YML063W YOL126C YPL095C
intracellular monoatomic ion homeostasis,1,116,0.5718045955512823,FALSE,YOR153W
transport,6,874,0.6214380243971045,FALSE,YCR010C YDR244W YDR384C YOL126C YOR153W YOR348C
protein targeting,1,133,0.6225141966622889,FALSE,YOL111C
response to stress,3,503,0.7176917839178629,FALSE,YDR256C YHL027W YML007W
proteolysis involved in protein catabolic process,1,186,0.7459262324232714,FALSE,YMR135C
translation,1,189,0.7515900866240481,FALSE,YML063W
protein-containing complex assembly,2,375,0.7647110528011303,FALSE,YDL110C YNR018W
rRNA processing,1,233,0.8218279068301263,FALSE,YML063W
cellular component assembly,2,534,0.9102164271371862,FALSE,YDL110C YNR018W
cellular nitrogen compound metabolic process,2,1386,0.9998863400780246,FALSE,YAR035W YML063W
