term,group_count,overall_count,exact_pval,sig,genes
monocarboxylic acid metabolic process,9,105,3.6036695439451422e-9,TRUE,YBR159W YDL110C YER015W YJL196C YJR019C YMR272C YOL147C YPL095C YPR128C
lipid metabolic process,11,249,5.159034460674788e-8,TRUE,YBR159W YDL110C YDR072C YER015W YJL196C YJR019C YMR272C YOL147C YOR084W YPL095C YPR128C
small molecule metabolic process,11,556,1.395688387366383e-4,TRUE,YBR159W YDL110C YER015W YJL153C YJL196C YJR019C YMR272C YOL126C YOL147C YPL095C YPR128C
peroxisome organization,3,40,0.0014674693925841643,FALSE,YDR244W YOL126C YPR128C
sporulation,2,46,0.028330588983204907,FALSE,YEL060C YHL027W
pseudohyphal growth,2,48,0.030659335366435028,FALSE,YDR207C YMR316W
anatomical structure formation involved in morphogenesis,2,73,0.0654303661565855,FALSE,YEL060C YHL027W
cell morphogenesis,1,12,0.06703339926367302,FALSE,YOL111C
response to chemical,4,281,0.07508048554223959,FALSE,YDR207C YHL027W YOL002C YOR363C
growth,2,89,0.09221106777918611,FALSE,YDR207C YMR316W
organelle fission,1,18,0.09890392918450541,FALSE,YOL147C
meiotic cell cycle,1,22,0.11956491227842359,FALSE,YHL027W
catabolic process,6,615,0.1340459642876908,FALSE,YEL060C YJR019C YMR135C YOR084W YPL095C YPR128C
cell cycle,1,31,0.16439537175753516,FALSE,YHL027W
anatomical structure development,1,33,0.17405446281361892,FALSE,YHL027W
invasive growth in response to glucose limitation,1,38,0.1977334861356863,FALSE,YMR316W
amino acid transport,1,40,0.20702062758959305,FALSE,YOR348C
protein glycosylation,1,58,0.28606933483031316,FALSE,YKL201C
transmembrane transport,2,195,0.3104395439531552,FALSE,YDR244W YOL126C
biosynthetic process,7,973,0.3230721081152429,FALSE,YBR159W YDL110C YDR072C YJL153C YJL196C YOL126C YPL095C
regulation of cell cycle,2,209,0.34052784918902335,FALSE,YHL027W YMR135C
transport,6,874,0.39084835045909705,FALSE,YDR244W YKR093W YOL126C YOR273C YOR348C YPR128C
carbohydrate metabolic process,1,106,0.4614853204612077,FALSE,YOL126C
cell wall organization or biogenesis,1,114,0.48634991553356444,FALSE,YHL027W
intracellular monoatomic ion homeostasis,1,116,0.49239090154849896,FALSE,YOL002C
nucleobase-containing compound transport,1,117,0.4953856454921657,FALSE,YPR128C
protein targeting,1,133,0.5410463655338011,FALSE,YOL111C
homeostatic process,1,184,0.6615190966909656,FALSE,YOL002C
proteolysis involved in protein catabolic process,1,186,0.6655593313700263,FALSE,YMR135C
chromatin organization,1,216,0.7208592925928624,FALSE,YDR207C
protein-containing complex assembly,1,375,0.89501718335226,FALSE,YDL110C
response to stress,1,503,0.9534304772027425,FALSE,YHL027W
cellular component assembly,1,534,0.9618897657230016,FALSE,YDL110C
