term,group_count,overall_count,exact_pval,sig,genes
biosynthetic process,9,973,0.0025775226434478346,FALSE,YDL061C YER131W YFR032C-A YGL031C YHR007C YHR208W YOL126C YOR063W YPL048W
cytoplasmic translation,3,96,0.00415448128662557,FALSE,YDL061C YER131W YFR032C-A
translational elongation,2,31,0.005043728492182528,FALSE,YGL031C YPL048W
translation,3,189,0.02632222517575062,FALSE,YDL061C YER131W YFR032C-A
ribosome assembly,1,10,0.03445138208779985,FALSE,YER131W
nuclear transport,2,156,0.10164227211396891,FALSE,YER131W YOR230W
nucleocytoplasmic transport,2,156,0.10164227211396891,FALSE,YER131W YOR230W
cellular component assembly,4,534,0.10804953010407779,FALSE,YER131W YER154W YOR063W YOR226C
translational initiation,1,36,0.11887130268921431,FALSE,YGL031C
reproduction,1,37,0.1219751542959866,FALSE,YGR279C
peroxisome organization,1,40,0.13122508165089752,FALSE,YOL126C
ribosomal subunit export from nucleus,1,58,0.18482706906077928,FALSE,YER131W
rRNA processing,2,233,0.1946553681071598,FALSE,YER131W YOR063W
organelle assembly,1,76,0.2353050405136088,FALSE,YER131W
sulfur compound metabolic process,1,81,0.24879558521945067,FALSE,YOR226C
RNA modification,1,98,0.2930070215339383,FALSE,YOR226C
regulation of translation,1,99,0.2955298764109163,FALSE,YPL048W
small molecule metabolic process,3,556,0.3070390735975361,FALSE,YHR007C YHR208W YOL126C
tRNA processing,1,104,0.30801756087645993,FALSE,YOR226C
carbohydrate metabolic process,1,106,0.3129540543904328,FALSE,YOL126C
intracellular monoatomic ion homeostasis,1,116,0.3371433032356841,FALSE,YOR226C
protein-RNA complex assembly,1,120,0.34659268208291893,FALSE,YOR063W
cytoskeleton organization,1,127,0.3628247317578416,FALSE,YDR309C
transport,4,874,0.3662995992902002,FALSE,YER131W YER154W YOL126C YOR230W
protein-containing complex assembly,2,375,0.38173317807549145,FALSE,YER154W YOR063W
membrane organization,1,146,0.40499123933571213,FALSE,YER154W
mitochondrion organization,1,160,0.4343652732420782,FALSE,YER154W
amino acid metabolic process,1,173,0.4604142247107277,FALSE,YHR208W
tRNA metabolic process,1,179,0.4720521311065772,FALSE,YOR226C
homeostatic process,1,184,0.4815695002714939,FALSE,YOR226C
transmembrane transport,1,195,0.5019423302386801,FALSE,YOL126C
regulation of organelle organization,1,205,0.5198070028754223,FALSE,YDR309C
regulation of cell cycle,1,209,0.5267825601097988,FALSE,YDR309C
signal transduction,1,215,0.5370673071352121,FALSE,YDR309C
cellular nitrogen compound metabolic process,5,1386,0.5592188496358752,FALSE,YDL061C YER131W YFR032C-A YOR063W YOR226C
lipid metabolic process,1,249,0.5914857170047911,FALSE,YHR007C
catabolic process,1,615,0.9000504628069577,FALSE,YHR208W
