term,group_count,overall_count,exact_pval,sig,genes
vacuole organization,4,63,1.3020847918048382e-4,TRUE,YER072W YFL004W YJL012C YPL019C
organelle fusion,4,71,2.0766491937546018e-4,TRUE,YER072W YFL004W YJL012C YPL019C
small molecule metabolic process,9,556,2.623523429283085e-4,TRUE,YDR017C YDR481C YER037W YER072W YFL004W YJL012C YML123C YOR163W YPL019C
vacuolar transport,4,79,3.1397417022948894e-4,TRUE,YER072W YFL004W YJL012C YPL019C
catabolic process,8,615,0.0028364927990864584,FALSE,YDR481C YER037W YER072W YFL004W YJL012C YOR163W YPL019C YPL110C
response to starvation,2,26,0.00542773743033376,FALSE,YBR093C YER037W
transport,8,874,0.02393165607305445,FALSE,YBR296C YCR098C YER072W YFL004W YJL012C YJL117W YML123C YPL019C
plasma membrane organization,1,7,0.02986370574153341,FALSE,YMR251W-A
nucleobase-containing compound catabolic process,3,165,0.032615409098519295,FALSE,YDR481C YER037W YOR163W
nucleobase-containing small molecule metabolic process,3,172,0.03626393087090631,FALSE,YDR481C YER037W YOR163W
transmembrane transport,3,195,0.04969366401269434,FALSE,YBR296C YCR098C YML123C
monoatomic ion transport,1,71,0.26623537745377823,FALSE,YML123C
lipid metabolic process,2,249,0.2927463852570825,FALSE,YPL057C YPL110C
regulation of transport,1,82,0.30088426409740665,FALSE,YJL117W
protein folding,1,91,0.3280686553622528,FALSE,YJL117W
cell wall organization or biogenesis,1,114,0.39304121436691686,FALSE,YOL155C
protein targeting,1,133,0.44215636501471833,FALSE,YHR136C
membrane organization,1,146,0.4735546475340402,FALSE,YMR251W-A
Golgi vesicle transport,1,169,0.525025651774969,FALSE,YJL117W
homeostatic process,1,184,0.5559717642176251,FALSE,YER037W
biosynthetic process,4,973,0.631134598963083,FALSE,YDR017C YER072W YJL012C YPL057C
response to stress,2,503,0.6552156024772622,FALSE,YBR093C YER037W
vesicle-mediated transport,1,317,0.7580166662530979,FALSE,YJL117W
cellular nitrogen compound metabolic process,3,1386,0.9631781501471498,FALSE,YDR481C YER037W YOR163W
