term,group_count,overall_count,exact_pval,sig,genes
monocarboxylic acid metabolic process,10,105,7.597767719201137e-12,TRUE,YDL078C YER015W YGL205W YIL160C YKR009C YNL009W YNL202W YOR100C YOR180C YPL095C
lipid metabolic process,12,249,1.054963781674803e-10,TRUE,YDL078C YDR072C YER015W YGL205W YIL160C YKR009C YNL009W YNL202W YOR084W YOR100C YOR180C YPL095C
small molecule metabolic process,12,556,1.0022311808802084e-6,TRUE,YDL078C YER015W YGL205W YIL160C YKR009C YLR153C YNL009W YNL202W YOL126C YOR100C YOR180C YPL095C
catabolic process,11,615,2.338555510733848e-5,TRUE,YDL078C YDR256C YEL060C YGL205W YIL160C YKR009C YNL009W YNL202W YOR084W YOR180C YPL095C
sporulation,3,46,0.0010776380880293264,FALSE,YEL060C YHL027W YNL202W
anatomical structure formation involved in morphogenesis,3,73,0.004079285832395544,FALSE,YEL060C YHL027W YNL202W
anatomical structure development,2,33,0.009484781180281647,FALSE,YHL027W YNL202W
response to chemical,4,281,0.035078004848781194,FALSE,YDR256C YHL027W YOL002C YOR363C
meiotic cell cycle,1,22,0.0951535465578619,FALSE,YHL027W
cell cycle,1,31,0.13153358716113295,FALSE,YHL027W
peroxisome organization,1,40,0.16651486116331882,FALSE,YOL126C
nucleobase-containing small molecule metabolic process,2,172,0.1817787080206479,FALSE,YDL078C YLR153C
response to oxidative stress,1,78,0.2999334341357699,FALSE,YDR256C
sulfur compound metabolic process,1,81,0.3095491978206367,FALSE,YLR153C
carbohydrate metabolic process,1,106,0.3849217708678556,FALSE,YOL126C
cell wall organization or biogenesis,1,114,0.40733439791621895,FALSE,YHL027W
intracellular monoatomic ion homeostasis,1,116,0.4128145170260701,FALSE,YOL002C
homeostatic process,1,184,0.572848689519,FALSE,YOL002C
transmembrane transport,1,195,0.594456097431852,FALSE,YOL126C
regulation of cell cycle,1,209,0.6204504025257909,FALSE,YHL027W
chromatin organization,1,216,0.632843421352844,FALSE,YMR037C
biosynthetic process,4,973,0.6695223447611465,FALSE,YDR072C YLR153C YOL126C YPL095C
response to stress,2,503,0.6805655943894254,FALSE,YDR256C YHL027W
transport,1,874,0.9873483440681659,FALSE,YOL126C
cellular nitrogen compound metabolic process,2,1386,0.9940124703797206,FALSE,YDL078C YLR153C
