term,group_count,overall_count,exact_pval,sig,genes
lipid metabolic process,7,249,3.873441658181858e-6,TRUE,YDL078C YDR072C YER015W YOR084W YOR317W YPL095C YPR128C
monocarboxylic acid metabolic process,4,105,2.3398410880862863e-4,TRUE,YDL078C YER015W YPL095C YPR128C
small molecule metabolic process,6,556,0.00441867586153635,FALSE,YDL078C YER015W YOL126C YOR317W YPL095C YPR128C
cell wall organization or biogenesis,3,114,0.004655636491845477,FALSE,YHL027W YJL158C YJL159W
peroxisome organization,2,40,0.006479314945169649,FALSE,YOL126C YPR128C
response to chemical,3,281,0.05187341798764486,FALSE,YHL027W YOL002C YOR363C
meiotic cell cycle,1,22,0.06585694381529905,FALSE,YHL027W
cell cycle,1,31,0.09161293789253011,FALSE,YHL027W
nucleobase-containing small molecule metabolic process,2,172,0.09670382971728256,FALSE,YDL078C YOR317W
anatomical structure development,1,33,0.09724575030684757,FALSE,YHL027W
catabolic process,4,615,0.1113547378571771,FALSE,YDL078C YOR084W YPL095C YPR128C
sporulation,1,46,0.13307187451615932,FALSE,YHL027W
lipid transport,1,57,0.16234520444376777,FALSE,YOR317W
anatomical structure formation involved in morphogenesis,1,73,0.20328134962074562,FALSE,YHL027W
sulfur compound metabolic process,1,81,0.2230418652211359,FALSE,YOR317W
transport,4,874,0.2775587020588029,FALSE,YOL126C YOR273C YOR317W YPR128C
carbohydrate metabolic process,1,106,0.28188514011896604,FALSE,YOL126C
intracellular monoatomic ion homeostasis,1,116,0.304235943705216,FALSE,YOL002C
nucleobase-containing compound transport,1,117,0.3064349451473616,FALSE,YPR128C
homeostatic process,1,184,0.4398436179095674,FALSE,YOL002C
transmembrane transport,1,195,0.4593079098290105,FALSE,YOL126C
regulation of cell cycle,1,209,0.4831680766957406,FALSE,YHL027W
biosynthetic process,3,973,0.6030585679961254,FALSE,YDR072C YOL126C YPL095C
response to stress,1,503,0.8061373451146072,FALSE,YHL027W
cellular nitrogen compound metabolic process,2,1386,0.9547919963229998,FALSE,YDL078C YOR317W
