term,group_count,overall_count,exact_pval,sig,genes
cytoplasmic translation,9,96,8.092859656993932e-7,TRUE,YBR191W YDR471W YER117W YIL018W YJL177W YLR441C YNL067W YNL096C YPL079W
biosynthetic process,24,973,4.039821562997275e-5,TRUE,YBL011W YBL082C YBR036C YBR191W YDR062W YDR471W YEL046C YER091C YER117W YER120W YGL084C YHR032W YHR070W YIL018W YJL088W YJL177W YJR073C YKL081W YLR303W YLR441C YMR116C YNL067W YNL096C YPL079W
translation,9,189,1.9792165389165595e-4,TRUE,YBR191W YDR471W YER117W YIL018W YJL177W YLR441C YNL067W YNL096C YPL079W
transmembrane transport,7,195,0.005392824552890355,FALSE,YBL075C YBR036C YDR135C YER056C YGL084C YGR055W YGR260W
lipid metabolic process,7,249,0.019277236261197362,FALSE,YBL011W YBL082C YBR036C YDR062W YER120W YGL084C YJR073C
sulfur compound metabolic process,3,81,0.06030897778431622,FALSE,YER091C YHR032W YLR303W
amino acid transport,2,40,0.07226371320621137,FALSE,YGR055W YGR142W
pseudohyphal growth,2,48,0.0988708931035778,FALSE,YBR083W YOR315W
mitotic cell cycle,1,10,0.10576875464251045,FALSE,YOR315W
regulation of protein modification process,2,52,0.11306585897797977,FALSE,YGR108W YPR119W
amino acid metabolic process,4,173,0.12468302647595757,FALSE,YEL046C YER091C YJL088W YLR303W
cell adhesion,1,12,0.12556459030912426,FALSE,YOR315W
cell morphogenesis,1,12,0.12556459030912426,FALSE,YNL154C
carbohydrate transport,1,16,0.16387458061787774,FALSE,YGL084C
ribosome biogenesis,1,16,0.16387458061787774,FALSE,YNL096C
chromatin organization,4,216,0.21768881749142338,FALSE,YBL002W YER120W YFR034C YOL012C
response to starvation,1,26,0.25258825644831273,FALSE,YFR034C
growth,2,89,0.25996424436353144,FALSE,YBR083W YOR315W
protein folding,2,91,0.26825937920944176,FALSE,YBL075C YGR142W
cell cycle,1,31,0.2934121457910467,FALSE,YOR315W
translational elongation,1,31,0.2934121457910467,FALSE,YKL081W
protein lipidation,1,34,0.3168473936181204,FALSE,YGL084C
homeostatic process,3,184,0.33556044082837577,FALSE,YBR036C YDR135C YGR142W
invasive growth in response to glucose limitation,1,38,0.34691120193247305,FALSE,YBR083W
cell wall organization or biogenesis,2,114,0.3628402767087515,FALSE,YJL158C YOR247W
regulation of cell cycle,3,209,0.41212140803107666,FALSE,YGR108W YMR092C YPR119W
RNA catabolic process,2,128,0.41841028624216237,FALSE,YMR116C YOL012C
organelle inheritance,1,53,0.44851817653320747,FALSE,YER120W
protein glycosylation,1,58,0.47880569501729286,FALSE,YBL082C
rRNA processing,3,233,0.48319610854072503,FALSE,YGR118W YJL177W YLR441C
vacuole organization,1,63,0.5074589495866206,FALSE,YDR135C
transport,10,874,0.5169487094415374,FALSE,YBL075C YBR036C YDR135C YER056C YGL084C YGR055W YGR142W YGR260W YKR092C YNL154C
monoatomic ion transport,1,71,0.5501193647582341,FALSE,YBR036C
organelle fusion,1,71,0.5501193647582341,FALSE,YDR135C
nucleobase-containing compound catabolic process,2,165,0.5524474780811242,FALSE,YMR116C YOL012C
endosomal transport,1,75,0.5700678208105268,FALSE,YGR142W
endocytosis,1,82,0.6029092832010374,FALSE,YNL154C
regulation of transport,1,82,0.6029092832010374,FALSE,YER120W
cellular nitrogen compound metabolic process,15,1386,0.6040897548578078,FALSE,YBR191W YDR471W YER117W YGR118W YHR070W YIL018W YJL177W YKL017C YLR441C YMR116C YNL067W YNL096C YOL012C YOR247W YPL079W
response to chemical,3,281,0.6121293203316783,FALSE,YDR135C YLR104W YNL154C
proteolysis involved in protein catabolic process,2,186,0.6186002442470802,FALSE,YBL075C YLR104W
RNA modification,1,98,0.6690076039861088,FALSE,YHR070W
regulation of organelle organization,2,205,0.6719376322808306,FALSE,YGR108W YMR092C
regulation of translation,1,99,0.672759406963596,FALSE,YMR116C
tRNA processing,1,104,0.6909012470040732,FALSE,YHR070W
catabolic process,6,615,0.6961103424684422,FALSE,YEL046C YER120W YGL084C YLR104W YMR116C YOL012C
signal transduction,2,215,0.6975654874662807,FALSE,YMR116C YNL154C
carbohydrate metabolic process,1,106,0.6978782750086916,FALSE,YGL084C
regulation of DNA metabolic process,1,106,0.6978782750086916,FALSE,YPL127C
intracellular monoatomic ion homeostasis,1,116,0.7305101026064129,FALSE,YBR036C
nucleobase-containing compound transport,1,117,0.7335763593403476,FALSE,YER056C
small molecule metabolic process,5,556,0.7564778387371176,FALSE,YEL046C YER091C YGL084C YJL088W YLR303W
cytoskeleton organization,1,127,0.7624158606496517,FALSE,YGR108W
membrane organization,1,146,0.8090188363649408,FALSE,YER120W
nuclear transport,1,156,0.8298126807412108,FALSE,YKR092C
nucleocytoplasmic transport,1,156,0.8298126807412108,FALSE,YKR092C
tRNA metabolic process,1,179,0.8695709545462196,FALSE,YHR070W
chromosome organization,1,181,0.8725619023581216,FALSE,YPL127C
vesicle-mediated transport,2,317,0.876464968571395,FALSE,YGR142W YNL154C
DNA repair,1,208,0.9069190190721401,FALSE,YKL017C
response to stress,3,503,0.9290054441263702,FALSE,YFR034C YKL017C YLR104W
DNA damage response,1,249,0.9424365300944363,FALSE,YKL017C
DNA metabolic process,1,321,0.9755054973705453,FALSE,YKL017C
