term,group_count,overall_count,exact_pval,sig,genes
small molecule metabolic process,7,556,0.009074682825101916,FALSE,YJR121W YJR148W YKL029C YKR097W YLR056W YML081C-A YOL126C
cellular respiration,2,56,0.025983366470084517,FALSE,YBL030C YMR081C
cell morphogenesis,1,12,0.05302602025042802,FALSE,YOL111C
transmembrane transport,3,195,0.055895619889101016,FALSE,YBL030C YDR384C YOL126C
carbohydrate metabolic process,2,106,0.08202313678650053,FALSE,YKR097W YOL126C
cell wall organization or biogenesis,2,114,0.09291683065619032,FALSE,YBR067C YDR077W
generation of precursor metabolites and energy,2,115,0.09430805189642588,FALSE,YBL030C YMR081C
cell death,1,23,0.09926648498259916,FALSE,YBL030C
lipid metabolic process,3,249,0.09984352459279554,FALSE,YLR056W YNL231C YOR084W
protein targeting,2,133,0.12035103733025077,FALSE,YBR105C YOL111C
response to chemical,3,281,0.13100979842300908,FALSE,YJL089W YKL032C YNL231C
biosynthetic process,7,973,0.13344980672860868,FALSE,YJR121W YJR148W YKR097W YLR056W YML081C-A YNL231C YOL126C
catabolic process,5,615,0.13621901901965092,FALSE,YBR105C YEL060C YHR081W YJR148W YOR084W
sno(s)RNA processing,1,37,0.1550066500251185,FALSE,YHR081W
peroxisome organization,1,40,0.16651486116331882,FALSE,YOL126C
nucleobase-containing small molecule metabolic process,2,172,0.1817787080206479,FALSE,YJR121W YML081C-A
amino acid metabolic process,2,173,0.18341930337708678,FALSE,YJR148W YKL029C
sporulation,1,46,0.1890840326253892,FALSE,YEL060C
lipid transport,1,57,0.22895429198038608,FALSE,YNL231C
monoatomic ion transport,1,71,0.2769970564871972,FALSE,YBL030C
anatomical structure formation involved in morphogenesis,1,73,0.2836224781531188,FALSE,YEL060C
monocarboxylic acid metabolic process,1,105,0.3820639628338731,FALSE,YKL029C
regulation of DNA metabolic process,1,106,0.3849217708678556,FALSE,YKL032C
nucleobase-containing compound transport,1,117,0.4155364050634547,FALSE,YBL030C
RNA catabolic process,1,128,0.44469319098440885,FALSE,YHR081W
mitochondrion organization,1,160,0.5218276033719189,FALSE,YDR077W
nucleobase-containing compound catabolic process,1,165,0.5329145931633583,FALSE,YHR081W
chromosome organization,1,181,0.5667676784938827,FALSE,YHR081W
homeostatic process,1,184,0.572848689519,FALSE,YDR384C
proteolysis involved in protein catabolic process,1,186,0.5768573391795844,FALSE,YBR105C
transport,4,874,0.5774093448364286,FALSE,YBL030C YDR384C YNL231C YOL126C
regulation of cell cycle,1,209,0.6204504025257909,FALSE,YNL231C
rRNA processing,1,233,0.6613530065414526,FALSE,YHR081W
protein-containing complex assembly,1,375,0.8296372105503118,FALSE,YML081C-A
response to stress,1,503,0.9100101242860579,FALSE,YKL032C
cellular component assembly,1,534,0.923115873306416,FALSE,YML081C-A
cellular nitrogen compound metabolic process,3,1386,0.9714118417236963,FALSE,YHR081W YJR121W YML081C-A
