term,group_count,overall_count,exact_pval,sig,genes
small molecule metabolic process,10,556,1.5193739319705234e-6,TRUE,YAL054C YBL015W YCR005C YEL071W YER024W YGL062W YMR083W YNR001C YOR100C YOR303W
monocarboxylic acid metabolic process,4,105,3.068180695522973e-4,TRUE,YAL054C YBL015W YEL071W YOR100C
nucleobase-containing small molecule metabolic process,3,172,0.0173676656178115,FALSE,YAL054C YMR083W YNR001C
sulfur compound metabolic process,2,81,0.0282921271427173,FALSE,YAL054C YNR001C
anatomical structure development,1,33,0.10339200370892598,FALSE,YPR036W-A
amino acid metabolic process,2,173,0.10909635161551476,FALSE,YMR083W YOR303W
homeostatic process,2,184,0.12091811153488191,FALSE,YCR010C YDR384C
transmembrane transport,2,195,0.13306336568737973,FALSE,YCR010C YDR384C
sporulation,1,46,0.14129937477864307,FALSE,YPR036W-A
biosynthetic process,5,973,0.20231142376587563,FALSE,YAL054C YEL071W YGL062W YMR083W YOR303W
anatomical structure formation involved in morphogenesis,1,73,0.21528061957694267,FALSE,YPR036W-A
growth,1,89,0.25625616771492854,FALSE,YEL071W
carbohydrate metabolic process,1,106,0.29758973577553516,FALSE,YGL062W
generation of precursor metabolites and energy,1,115,0.31859047344102776,FALSE,YAL054C
mitochondrion organization,1,160,0.41505209435149604,FALSE,YLR304C
nucleobase-containing compound catabolic process,1,165,0.42494109637276856,FALSE,YNR001C
cellular nitrogen compound metabolic process,5,1386,0.49800681920867396,FALSE,YAL054C YAR035W YER024W YMR083W YNR001C
lipid metabolic process,1,249,0.5693582302817528,FALSE,YOR100C
catabolic process,2,615,0.6194642892059321,FALSE,YMR083W YNR001C
transport,2,874,0.8113857807280875,FALSE,YCR010C YDR384C
