term,group_count,overall_count,exact_pval,sig,genes
cytoplasmic translation,18,96,2.0168546086825098e-17,TRUE,YDL081C YDL130W YDR382W YDR450W YER131W YGL147C YGR214W YIL018W YIL133C YJL189W YJL190C YLR388W YMR142C YNL162W YNL178W YOL039W YOL040C YPL079W
translation,18,189,4.305684219389048e-12,TRUE,YDL081C YDL130W YDR382W YDR450W YER131W YGL147C YGR214W YIL018W YIL133C YJL189W YJL190C YLR388W YMR142C YNL162W YNL178W YOL039W YOL040C YPL079W
biosynthetic process,28,973,2.9172582668798936e-6,TRUE,YAL003W YDL081C YDL130W YDL182W YDR382W YDR450W YEL034W YEL046C YER131W YGL055W YGL147C YGR214W YIL018W YIL133C YJL034W YJL189W YJL190C YLR355C YLR388W YMR116C YMR142C YNL162W YNL178W YOL039W YOL040C YOR063W YOR108W YPL079W
ribosomal subunit export from nucleus,6,58,6.773739699405036e-5,TRUE,YDR450W YER131W YGL123W YGR214W YNL178W YOL040C
nuclear transport,8,156,5.86814844393746e-4,TRUE,YDR450W YER131W YGL123W YGR214W YLL024C YNL064C YNL178W YOL040C
nucleocytoplasmic transport,8,156,5.86814844393746e-4,TRUE,YDR450W YER131W YGL123W YGR214W YLL024C YNL064C YNL178W YOL040C
rRNA processing,9,233,0.0020066076300128983,FALSE,YDR450W YER102W YER131W YGR118W YGR214W YIL133C YKL156W YOR063W YPR132W
cellular nitrogen compound metabolic process,28,1386,0.002197399414117688,FALSE,YDL081C YDL130W YDL182W YDR151C YDR382W YDR450W YER102W YER131W YGL147C YGR118W YGR214W YIL018W YIL133C YJL189W YJL190C YKL156W YLR388W YMR116C YMR142C YMR186W YNL162W YNL178W YNL241C YOL039W YOL040C YOR063W YPL079W YPR132W
protein folding,5,91,0.005011307613299168,FALSE,YLL024C YLL026W YMR186W YNL064C YPL106C
response to chemical,9,281,0.006994637146796581,FALSE,YDR179C YDR216W YEL009C YJL034W YKL109W YLR109W YNL064C YNL241C YPR065W
regulation of translation,4,99,0.03314393072251177,FALSE,YAL003W YEL034W YGL123W YMR116C
response to heat,2,30,0.05225395478330801,FALSE,YLL026W YMR186W
translational elongation,2,31,0.05542412006432912,FALSE,YAL003W YEL034W
protein-RNA complex assembly,4,120,0.05986992661123713,FALSE,YGR214W YKL156W YMR186W YOR063W
transmembrane transport,5,195,0.09151653345969243,FALSE,YJL034W YLL024C YLL028W YML123C YNR013C
ribosome assembly,1,10,0.11687592918480649,FALSE,YER131W
cell adhesion,1,12,0.13858459197283335,FALSE,YLR110C
amino acid metabolic process,4,173,0.16412229438552656,FALSE,YDL182W YEL046C YLR355C YOR108W
cell wall organization or biogenesis,3,114,0.16562719439473295,FALSE,YBR067C YLR110C YOL109W
oligosaccharide metabolic process,1,16,0.18043953206425967,FALSE,YLL026W
proteolysis involved in protein catabolic process,4,186,0.19620117547548377,FALSE,YJL034W YLL024C YNL064C YPL106C
RNA catabolic process,3,128,0.20935618187316896,FALSE,YDR151C YMR116C YNL178W
catabolic process,10,615,0.22285359530524917,FALSE,YDR151C YEL046C YJL034W YLL024C YMR116C YMR142C YNL064C YNL178W YPL106C YPL250C
organelle assembly,2,76,0.2411049906563753,FALSE,YER131W YPL250C
response to oxidative stress,2,78,0.25029906066637503,FALSE,YLR109W YNL241C
response to stress,8,503,0.27906274153459903,FALSE,YDL182W YJL034W YLL026W YLR109W YMR186W YNL064C YNL241C YPR065W
mitochondrion organization,3,160,0.3164002161490661,FALSE,YGL055W YLR355C YPL250C
nucleobase-containing compound catabolic process,3,165,0.333497500741073,FALSE,YDR151C YMR116C YNL178W
protein modification by small protein conjugation or removal,2,99,0.3465681007008985,FALSE,YDR179C YLL039C
reproduction,1,37,0.369450238784943,FALSE,YLR110C
carbohydrate metabolic process,2,106,0.3779728154552092,FALSE,YJL034W YLL026W
small molecule metabolic process,8,556,0.3804824621002703,FALSE,YDL182W YEL046C YGL055W YLR355C YML123C YNL241C YNR013C YOR108W
peroxisome organization,1,40,0.39268679234429626,FALSE,YDR216W
transport,12,874,0.39501346339584714,FALSE,YDR450W YER131W YGL123W YGR214W YJL034W YLL024C YLL028W YML123C YNL064C YNL178W YNR013C YOL040C
nucleobase-containing compound transport,2,117,0.4260516880766564,FALSE,YLL024C YNL064C
nucleus organization,1,48,0.4506129744890571,FALSE,YJL034W
regulation of organelle organization,3,205,0.46778169869502617,FALSE,YAL003W YDR063W YDR309C
regulation of protein modification process,1,52,0.47750284546245136,FALSE,YDL130W
organelle inheritance,1,53,0.4840204814857887,FALSE,YGL055W
response to osmotic stress,1,54,0.4904581548296967,FALSE,YPR065W
protein targeting,2,133,0.4924748755338728,FALSE,YNL064C YPL250C
telomere organization,1,58,0.515428342799166,FALSE,YMR186W
vacuole organization,1,63,0.5449543409971732,FALSE,YPL250C
monoatomic ion transport,1,71,0.5885561922677862,FALSE,YML123C
organelle fusion,1,71,0.5885561922677862,FALSE,YJL034W
regulation of transport,1,82,0.6418691305299526,FALSE,YNR013C
cellular component assembly,6,534,0.6595276121460971,FALSE,YER131W YGR214W YKL156W YMR186W YOR063W YPL250C
homeostatic process,2,184,0.6700001694840807,FALSE,YDR151C YLR109W
protein-containing complex assembly,4,375,0.6914325202968593,FALSE,YGR214W YKL156W YMR186W YOR063W
monocarboxylic acid metabolic process,1,105,0.7323464712485397,FALSE,YGL055W
regulation of DNA metabolic process,1,106,0.735722382899809,FALSE,YDL020C
signal transduction,2,215,0.751674124174572,FALSE,YDR309C YMR116C
generation of precursor metabolites and energy,1,115,0.7642810430676735,FALSE,YNL241C
intracellular monoatomic ion homeostasis,1,116,0.7672604273979745,FALSE,YDR151C
cytoskeleton organization,1,127,0.7976860874768359,FALSE,YDR309C
nucleobase-containing small molecule metabolic process,1,172,0.8863350938235282,FALSE,YNL241C
chromosome organization,1,181,0.8987822964159539,FALSE,YMR186W
