term,group_count,overall_count,exact_pval,sig,genes
carbohydrate transport,2,16,0.011790502599752941,FALSE,YFR053C YHR094C
monocarboxylic acid metabolic process,4,105,0.02365029342725821,FALSE,YBL015W YER073W YFR053C YFR055W
cell wall organization or biogenesis,4,114,0.030827776314582316,FALSE,YER033C YIL119C YLR110C YNL160W
generation of precursor metabolites and energy,4,115,0.031696746875639045,FALSE,YBL030C YFR033C YFR053C YOR178C
response to heat,2,30,0.038942571799933066,FALSE,YOL052C-A YOR178C
sulfur compound metabolic process,3,81,0.05244149278892594,FALSE,YFR055W YGL125W YPL135W
reproduction,2,37,0.05693250592850885,FALSE,YGR279C YLR110C
amino acid metabolic process,4,173,0.10669389319926059,FALSE,YAL062W YER055C YFR055W YGL125W
cellular respiration,2,56,0.11628829345264641,FALSE,YBL030C YFR033C
cell adhesion,1,12,0.11898716778033436,FALSE,YLR110C
small molecule metabolic process,9,556,0.12260913192212639,FALSE,YAL062W YBL015W YER044C YER055C YER073W YFR053C YFR055W YGL125W YHR007C
proteolysis involved in protein catabolic process,4,186,0.12970021517686867,FALSE,YER094C YJL048C YMR135C YNL008C
transmembrane transport,4,195,0.1467638161135373,FALSE,YBL030C YBR068C YFR053C YHR094C
response to chemical,5,281,0.17013691181980195,FALSE,YKL032C YKL109W YNL008C YOL052C-A YOR052C
signal transduction,4,215,0.18759946521117826,FALSE,YDR309C YIL119C YOR107W YOR178C
meiotic cell cycle,1,22,0.2074448938075213,FALSE,YOR178C
cell death,1,23,0.21579619761244162,FALSE,YBL030C
response to starvation,1,26,0.2403358464823545,FALSE,YOL052C-A
exocytosis,1,28,0.25627569211609336,FALSE,YOR327C
cell cycle,1,31,0.27957246107332845,FALSE,YOR178C
membrane fusion,1,34,0.3021533393694803,FALSE,YOR327C
carbohydrate metabolic process,2,106,0.30601975405656356,FALSE,YFR053C YOR178C
catabolic process,8,615,0.31515613403958237,FALSE,YER035W YER094C YFR053C YFR055W YJL048C YLR312C YMR135C YNL008C
amino acid transport,1,40,0.34525307501449054,FALSE,YBR068C
regulation of cell cycle,3,209,0.3767930514817829,FALSE,YDR309C YMR135C YOR178C
sporulation,1,46,0.385739939624844,FALSE,YJL048C
DNA-templated transcription elongation,1,61,0.47652357132858225,FALSE,YOR344C
vesicle organization,1,63,0.4875872036701264,FALSE,YOR327C
nucleobase-containing compound catabolic process,2,165,0.521378528791065,FALSE,YER035W YFR053C
monoatomic ion transport,1,71,0.5295944865613236,FALSE,YBL030C
organelle fusion,1,71,0.5295944865613236,FALSE,YOR327C
anatomical structure formation involved in morphogenesis,1,73,0.5395571118428341,FALSE,YJL048C
response to oxidative stress,1,78,0.563567485329151,FALSE,YOL052C-A
endocytosis,1,82,0.5818880691096648,FALSE,YOR327C
response to stress,5,503,0.6199716486753144,FALSE,YKL032C YOL052C-A YOR023C YOR052C YOR178C
regulation of organelle organization,2,205,0.640967701634795,FALSE,YDR309C YOR178C
RNA modification,1,98,0.647923205686348,FALSE,YPL135W
regulation of translation,1,99,0.6516922897564562,FALSE,YER035W
chromatin organization,2,216,0.6695732174126576,FALSE,YER088C YIL112W
tRNA processing,1,104,0.6699522971209095,FALSE,YPL135W
regulation of DNA metabolic process,1,106,0.6769905364900386,FALSE,YKL032C
intracellular monoatomic ion homeostasis,1,116,0.7100330748134341,FALSE,YPL135W
nucleobase-containing compound transport,1,117,0.7131490278653758,FALSE,YBL030C
DNA recombination,1,118,0.7162321468493307,FALSE,YOR023C
cytoskeleton organization,1,127,0.7425575253293109,FALSE,YDR309C
DNA damage response,2,249,0.7446922047417242,FALSE,YOL052C-A YOR023C
lipid metabolic process,2,249,0.7446922047417242,FALSE,YER044C YHR007C
RNA catabolic process,1,128,0.7453304009804629,FALSE,YER035W
membrane organization,1,146,0.7905163462143728,FALSE,YOR327C
Golgi vesicle transport,1,169,0.8369633666387696,FALSE,YOR327C
nucleobase-containing small molecule metabolic process,1,172,0.8422222010415882,FALSE,YFR053C
tRNA metabolic process,1,179,0.8538545820806716,FALSE,YPL135W
homeostatic process,1,184,0.8616443335140238,FALSE,YPL135W
DNA repair,1,208,0.8937188269235803,FALSE,YOR023C
biosynthetic process,7,973,0.9098780933486138,FALSE,YAL062W YER044C YER055C YER073W YGL125W YHR007C YOR344C
transport,6,874,0.9176468435848688,FALSE,YBL030C YBR068C YFR053C YHL016C YHR094C YOR327C
vesicle-mediated transport,1,317,0.9684742934511634,FALSE,YOR327C
DNA metabolic process,1,321,0.9698661209311457,FALSE,YOR023C
cellular component assembly,2,534,0.9811337454335234,FALSE,YNL160W YPL135W
cellular nitrogen compound metabolic process,6,1386,0.9989036230520686,FALSE,YAL062W YER035W YFR053C YOR023C YOR344C YPL135W
