term,group_count,overall_count,exact_pval,sig,genes
protein folding,5,91,6.6258132843199e-5,TRUE,YDR214W YFL016C YGR142W YNL007C YOR027W
response to stress,8,503,0.002053979491227835,FALSE,YFL016C YGR008C YKL020C YLR270W YNL007C YNL305C YOL082W YOR052C
response to heat,2,30,0.009341556742131791,FALSE,YFL016C YNL007C
proteolysis involved in protein catabolic process,4,186,0.012111526901462758,FALSE,YBR101C YFL016C YNL007C YOL082W
amino acid transport,2,40,0.01625529171710507,FALSE,YGR142W YNL065W
response to chemical,4,281,0.0465760531364462,FALSE,YGR008C YNL007C YOL082W YOR052C
monoatomic ion transport,2,71,0.04721048285971055,FALSE,YGL255W YOR383C
catabolic process,6,615,0.07346855203025734,FALSE,YBR101C YLR270W YMR110C YNL007C YOL082W YPR184W
ribosome biogenesis,1,16,0.07623550697160164,FALSE,YPL012W
cell death,1,23,0.10780771527927557,FALSE,YNL305C
response to starvation,1,26,0.12101972578126585,FALSE,YLR270W
translational initiation,1,36,0.16371903528241338,FALSE,YNL007C
nuclear transport,2,156,0.17891913215542482,FALSE,YDR214W YNL007C
nucleocytoplasmic transport,2,156,0.17891913215542482,FALSE,YDR214W YNL007C
homeostatic process,2,184,0.2297892491143562,FALSE,YGR142W YLR073C
transmembrane transport,2,195,0.25013722355625173,FALSE,YGL255W YNL065W
transport,6,874,0.253622744336966,FALSE,YDR214W YGL255W YGR142W YNL007C YNL065W YOR383C
vesicle organization,1,63,0.2693079332864241,FALSE,YOL082W
endosomal transport,1,75,0.31201996469722504,FALSE,YGR142W
sulfur compound metabolic process,1,81,0.3324682956955446,FALSE,YKL001C
regulation of transport,1,82,0.33581921828565253,FALSE,YDR122W
lipid metabolic process,2,249,0.35025345916108475,FALSE,YGR175C YMR110C
carbohydrate metabolic process,1,106,0.4115709168423287,FALSE,YPR184W
generation of precursor metabolites and energy,1,115,0.4377836816658681,FALSE,YPR184W
nucleobase-containing compound transport,1,117,0.44345484087380593,FALSE,YNL007C
RNA catabolic process,1,128,0.47367936063100513,FALSE,YLR270W
protein targeting,1,133,0.4868917576249506,FALSE,YOR027W
small molecule metabolic process,3,556,0.5288881233009237,FALSE,YGR175C YKL001C YMR110C
mitochondrion organization,1,160,0.552922908859889,FALSE,YFL016C
nucleobase-containing compound catabolic process,1,165,0.5642216618710447,FALSE,YLR270W
amino acid metabolic process,1,173,0.5817325252444362,FALSE,YMR110C
signal transduction,1,215,0.6631466828838734,FALSE,YNL305C
chromatin organization,1,216,0.664886403049741,FALSE,YKL020C
rRNA processing,1,233,0.6931766648492445,FALSE,YPL012W
vesicle-mediated transport,1,317,0.8025172659320713,FALSE,YGR142W
biosynthetic process,2,973,0.967377852506685,FALSE,YGR175C YMR110C
cellular nitrogen compound metabolic process,2,1386,0.9967007756067645,FALSE,YLR270W YPL012W
