term,group_count,overall_count,exact_pval,sig,genes
small molecule metabolic process,27,556,2.459554354821369e-9,TRUE,YAL038W YDR158W YFL030W YGL196W YGR254W YHR163W YHR174W YIL051C YJR148W YKL216W YLR044C YLR377C YML081C-A YMR145C YMR272C YMR315W YMR318C YNL274C YNR019W YOL126C YOL143C YOR120W YOR374W YOR375C YPL061W YPR035W YPR074C
generation of precursor metabolites and energy,12,115,5.005028320550238e-8,TRUE,YAL038W YGR254W YHR163W YHR174W YJR048W YLR044C YMR081C YMR145C YMR315W YOR374W YPL061W YPR074C
nucleobase-containing small molecule metabolic process,11,172,2.4608973056960517e-5,TRUE,YAL038W YGR254W YHR163W YHR174W YKL216W YML081C-A YMR145C YMR315W YOR374W YPL061W YPR074C
monocarboxylic acid metabolic process,8,105,1.0267185363025458e-4,TRUE,YAL038W YGR254W YHR174W YLR044C YMR272C YNL274C YOR374W YPL061W
carbohydrate metabolic process,8,106,1.0980771239620938e-4,TRUE,YAL038W YGR254W YHR174W YLR044C YLR377C YMR145C YOL126C YOR120W
amino acid metabolic process,8,173,0.0028880442313534787,FALSE,YDR158W YFL030W YGL196W YIL051C YJR148W YLR044C YOR375C YPR035W
response to chemical,10,281,0.005859875612337274,FALSE,YDR216W YGL209W YGR038W YGR043C YKL032C YNL190W YNL231C YOL002C YOR120W YOR153W
biosynthetic process,21,973,0.026365959230099753,FALSE,YDR072C YDR158W YDR232W YEL034W YEL055C YFL030W YHR178W YIL051C YJR148W YKL216W YLR044C YLR377C YML081C-A YNL231C YOL126C YOL143C YOR369C YOR374W YOR375C YPL061W YPR035W
homeostatic process,6,184,0.04541563830303588,FALSE,YDR011W YDR384C YKL064W YNL055C YOL002C YOR153W
intracellular monoatomic ion homeostasis,4,116,0.08170011247863579,FALSE,YDR011W YKL064W YOL002C YOR153W
peroxisome organization,2,40,0.10980700695672842,FALSE,YDR216W YOL126C
transmembrane transport,5,195,0.14229941974642152,FALSE,YBL042C YBR069C YDR384C YOL126C YOR153W
response to osmotic stress,2,54,0.17811737006268258,FALSE,YLR332W YPL061W
cellular respiration,2,56,0.1883745369284442,FALSE,YJR048W YMR081C
lipid transport,2,57,0.19353465161813022,FALSE,YNL055C YNL231C
cell death,1,23,0.2807157295611824,FALSE,YNL055C
response to oxidative stress,2,78,0.3041457346023292,FALSE,YGR043C YOR120W
cellular nitrogen compound metabolic process,22,1386,0.3148321072679875,FALSE,YAL038W YDR232W YEL055C YGR254W YHR087W YHR163W YHR174W YHR178W YIL051C YKL216W YLR044C YML081C-A YMR145C YMR315W YOL143C YOR078W YOR354C YOR369C YOR374W YOR375C YPL061W YPR074C
sulfur compound metabolic process,2,81,0.31994295615769397,FALSE,YDR158W YHR112C
translational elongation,1,31,0.35884028145283664,FALSE,YEL034W
vitamin metabolic process,1,32,0.3679978100348601,FALSE,YOL143C
translational initiation,1,36,0.4033564315743998,FALSE,YOR354C
nucleobase-containing compound catabolic process,3,165,0.41736424656594806,FALSE,YAL038W YGR254W YHR174W
amino acid transport,1,40,0.4367639252391653,FALSE,YBR069C
lipid metabolic process,4,249,0.47487979941682323,FALSE,YDR072C YMR272C YNL231C YNR019W
cell wall organization or biogenesis,2,114,0.48465881016010415,FALSE,YKR042W YLR332W
nucleobase-containing compound transport,2,117,0.4984690239316255,FALSE,YBL042C YNL055C
protein-RNA complex assembly,2,120,0.5120475790942558,FALSE,YEL055C YOR369C
catabolic process,9,615,0.5173960172257503,FALSE,YAL038W YGR254W YHR174W YJR148W YKR042W YLR044C YLR332W YNL274C YOR120W
regulation of protein modification process,1,52,0.526313148931388,FALSE,YBR050C
regulation of organelle organization,3,205,0.5624552435851329,FALSE,YDR232W YGR254W YHR174W
response to stress,7,503,0.5823494324043068,FALSE,YGR038W YGR043C YKL032C YLR332W YNL190W YOR120W YPL061W
DNA-templated transcription elongation,1,61,0.5841201513648546,FALSE,YHR178W
monoatomic ion transport,1,71,0.6402185718008757,FALSE,YNL055C
rRNA processing,3,233,0.6504614364807426,FALSE,YEL055C YOR078W YOR369C
mitochondrion organization,2,160,0.6695188556962104,FALSE,YKR042W YNL055C
regulation of transport,1,82,0.6933353530298356,FALSE,YNL055C
mitochondrial translation,1,93,0.7387070467212318,FALSE,YIL051C
regulation of translation,1,99,0.7605963094215034,FALSE,YEL034W
DNA-templated transcription,1,103,0.7741745885557393,FALSE,YEL055C
regulation of DNA metabolic process,1,106,0.7838574879003417,FALSE,YKL032C
protein-containing complex assembly,4,375,0.7910513771027206,FALSE,YDR231C YEL055C YML081C-A YOR369C
signal transduction,2,215,0.817181342573518,FALSE,YIL047C YLR332W
DNA recombination,1,118,0.8186620852438304,FALSE,YOR354C
membrane organization,1,146,0.8798261271860905,FALSE,YNL055C
transport,9,874,0.8963136812753251,FALSE,YBL042C YBR069C YDR384C YJR095W YKL120W YNL055C YNL231C YOL126C YOR153W
translation,1,189,0.9364201548942668,FALSE,YIL051C
regulation of cell cycle,1,209,0.9528105669205121,FALSE,YNL231C
cellular component assembly,4,534,0.9543867209411172,FALSE,YDR231C YEL055C YML081C-A YOR369C
chromatin organization,1,216,0.957499296039112,FALSE,YDR216W
DNA metabolic process,1,321,0.9913251324172223,FALSE,YOR354C
