term,group_count,overall_count,exact_pval,sig,genes
small molecule metabolic process,17,556,1.3161875188762889e-6,TRUE,YBR159W YDR158W YFL030W YGL196W YGR256W YHR163W YHR183W YJR148W YKL001C YLR354C YMR272C YMR315W YNL274C YOR120W YOR374W YPR035W YPR074C
generation of precursor metabolites and energy,7,115,4.7270108399847326e-5,TRUE,YGR256W YHR163W YHR183W YLR354C YMR315W YOR374W YPR074C
nucleobase-containing small molecule metabolic process,7,172,5.850244156846805e-4,TRUE,YGR256W YHR163W YHR183W YLR354C YMR315W YOR374W YPR074C
homeostatic process,6,184,0.004585272267571622,FALSE,YDL198C YDR011W YDR384C YKL064W YNL055C YOL002C
response to chemical,7,281,0.009469997805356099,FALSE,YDR216W YGL209W YGR038W YHR183W YKL032C YOL002C YOR120W
monocarboxylic acid metabolic process,4,105,0.012272853820252023,FALSE,YBR159W YMR272C YNL274C YOR374W
amino acid metabolic process,5,173,0.01582275836104651,FALSE,YDR158W YFL030W YGL196W YJR148W YPR035W
intracellular monoatomic ion homeostasis,4,116,0.017171262970341244,FALSE,YDL198C YDR011W YKL064W YOL002C
response to oxidative stress,2,78,0.14536099232647665,FALSE,YHR183W YOR120W
sulfur compound metabolic process,2,81,0.15437938043549068,FALSE,YDR158W YKL001C
cell death,1,23,0.18127058757927061,FALSE,YNL055C
biosynthetic process,11,973,0.2066794073799537,FALSE,YBR159W YDR072C YDR158W YEL034W YER177W YFL030W YHR178W YJR148W YOR369C YOR374W YPR035W
translational elongation,1,31,0.23646115219855557,FALSE,YEL034W
anatomical structure development,1,33,0.24968099177988645,FALSE,YER177W
nucleobase-containing compound transport,2,117,0.26825970868101423,FALSE,YDL198C YNL055C
translational initiation,1,36,0.26909278824671523,FALSE,YOR354C
reproduction,1,37,0.2754537710261675,FALSE,YGR279C
peroxisome organization,1,40,0.29421419725928455,FALSE,YDR216W
sporulation,1,46,0.3303233107248641,FALSE,YER177W
pseudohyphal growth,1,48,0.34195398842800695,FALSE,YER177W
regulation of protein modification process,1,52,0.36462680192787433,FALSE,YER177W
lipid metabolic process,3,249,0.3655002179993565,FALSE,YBR159W YDR072C YMR272C
lipid transport,1,57,0.39189750616498864,FALSE,YNL055C
mitochondrion organization,2,160,0.4048349450590085,FALSE,YDL198C YNL055C
DNA-templated transcription elongation,1,61,0.41288826886586183,FALSE,YHR178W
response to stress,5,503,0.4427661118890419,FALSE,YER177W YGR038W YHR183W YKL032C YOR120W
monoatomic ion transport,1,71,0.46231889662641135,FALSE,YNL055C
anatomical structure formation involved in morphogenesis,1,73,0.4717056461333978,FALSE,YER177W
transmembrane transport,2,195,0.5073073883485957,FALSE,YDL198C YDR384C
regulation of transport,1,82,0.5120036182602454,FALSE,YNL055C
growth,1,89,0.5412566395926848,FALSE,YER177W
signal transduction,2,215,0.5607665335246467,FALSE,YER177W YIL047C
chromatin organization,2,216,0.5633335737976578,FALSE,YDR216W YPR031W
regulation of translation,1,99,0.5800974325436585,FALSE,YEL034W
carbohydrate metabolic process,1,106,0.6053560838344172,FALSE,YOR120W
regulation of DNA metabolic process,1,106,0.6053560838344172,FALSE,YKL032C
DNA recombination,1,118,0.6452483571176562,FALSE,YOR354C
protein-RNA complex assembly,1,120,0.651502644931836,FALSE,YOR369C
membrane organization,1,146,0.723639127563662,FALSE,YNL055C
cellular nitrogen compound metabolic process,10,1386,0.8021136594741529,FALSE,YGR256W YHR163W YHR178W YHR183W YLR354C YMR315W YOR354C YOR369C YOR374W YPR074C
regulation of cell cycle,1,209,0.8432940879861779,FALSE,YER177W
protein-containing complex assembly,2,375,0.8463556507858332,FALSE,YDR231C YOR369C
cellular component assembly,3,534,0.8557508822031915,FALSE,YDR231C YER177W YOR369C
rRNA processing,1,233,0.874008974645571,FALSE,YOR369C
DNA damage response,1,249,0.8911317498838974,FALSE,YER177W
catabolic process,3,615,0.915263205237288,FALSE,YJR148W YNL274C YOR120W
DNA metabolic process,1,321,0.9439383128152112,FALSE,YOR354C
transport,3,874,0.9877798822515635,FALSE,YDL198C YDR384C YNL055C
