term,group_count,overall_count,exact_pval,sig,genes
cell adhesion,2,12,0.0031772979583190955,FALSE,YBR066C YLR110C
cell wall organization or biogenesis,3,114,0.04776999200255761,FALSE,YIL119C YIL123W YLR110C
cytoskeleton organization,3,127,0.062191797600289624,FALSE,YDL127W YDR309C YNL289W
cell morphogenesis,1,12,0.08313516331110438,FALSE,YKR031C
response to chemical,4,281,0.14112120842492748,FALSE,YBR066C YKL109W YKR034W YLR350W
reproduction,1,37,0.23533148952951755,FALSE,YLR110C
pseudohyphal growth,1,48,0.2942398486704808,FALSE,YLR353W
regulation of protein modification process,1,52,0.31454816135912667,FALSE,YMR199W
protein glycosylation,1,58,0.3439501988092183,FALSE,YDL055C
Golgi vesicle transport,2,169,0.34505000675746356,FALSE,YHR142W YKL179C
nucleobase-containing small molecule metabolic process,2,172,0.3530060670941527,FALSE,YDL055C YGR180C
DNA-templated transcription elongation,1,61,0.35818806597840136,FALSE,YOR344C
homeostatic process,2,184,0.38451373373061726,FALSE,YDL128W YDR384C
biosynthetic process,8,973,0.40295565921771936,FALSE,YDL055C YGR180C YHR007C YHR142W YIR021W YKL104C YLR399C YOR344C
monoatomic ion transport,1,71,0.4035127358062953,FALSE,YDL128W
anatomical structure formation involved in morphogenesis,1,73,0.4121969187815837,FALSE,YKR031C
transmembrane transport,2,195,0.4128636852168125,FALSE,YDL128W YDR384C
DNA repair,2,208,0.4455853216441412,FALSE,YLR399C YMR173W
regulation of cell cycle,2,209,0.4480638934155128,FALSE,YDR309C YMR199W
RNA splicing,1,82,0.44977938564159137,FALSE,YIR021W
signal transduction,2,215,0.4628129507632247,FALSE,YDR309C YIL119C
growth,1,89,0.4773860331782246,FALSE,YLR353W
protein folding,1,91,0.48502329543175293,FALSE,YHR142W
protein modification by small protein conjugation or removal,1,99,0.5145025589589958,FALSE,YBR082C
DNA-templated transcription,1,103,0.5286207742668787,FALSE,YLR399C
regulation of DNA metabolic process,1,106,0.5389468834340441,FALSE,YLR399C
DNA damage response,2,249,0.5420776060241328,FALSE,YLR399C YMR173W
lipid metabolic process,2,249,0.5420776060241328,FALSE,YHR007C YKR031C
intracellular monoatomic ion homeostasis,1,116,0.5718045955512823,FALSE,YDL128W
vesicle-mediated transport,2,317,0.6761789750999974,FALSE,YHR142W YKL179C
DNA metabolic process,2,321,0.6830270948923367,FALSE,YLR399C YMR173W
response to stress,3,503,0.7176917839178629,FALSE,YLR350W YLR399C YMR173W
proteolysis involved in protein catabolic process,1,186,0.7459262324232714,FALSE,YBR082C
regulation of organelle organization,1,205,0.7797864752610424,FALSE,YDR309C
transport,5,874,0.7809266306894482,FALSE,YDL128W YDR384C YHL016C YHR142W YKL179C
small molecule metabolic process,3,556,0.7811348421707196,FALSE,YDL055C YGR180C YHR007C
chromatin organization,1,216,0.7973410328527322,FALSE,YLR399C
cellular nitrogen compound metabolic process,6,1386,0.9602407947936555,FALSE,YDL055C YGR180C YIR021W YLR399C YMR173W YOR344C
cellular component assembly,1,534,0.9832142881664587,FALSE,YKR031C
catabolic process,1,615,0.9913578816681208,FALSE,YBR082C
