term,group_count,overall_count,exact_pval,sig,genes
response to chemical,3,281,0.005623513853393045,FALSE,YDR043C YDR216W YKL109W
cell adhesion,1,12,0.01715995453460517,FALSE,YDR043C
carbohydrate transport,1,16,0.022823558390449583,FALSE,YMR011W
peroxisome organization,1,40,0.056221267872340275,FALSE,YDR216W
response to osmotic stress,1,54,0.07524764756606217,FALSE,YDR043C
mitochondrion organization,1,160,0.2089393097597052,FALSE,YLR304C
transmembrane transport,1,195,0.24927396590786643,FALSE,YMR011W
chromatin organization,1,216,0.2726181372950647,FALSE,YDR216W
lipid metabolic process,1,249,0.3080445158473375,FALSE,YDR072C
response to stress,1,503,0.5346424747513221,FALSE,YDR043C
transport,1,874,0.7504429395896565,FALSE,YMR011W
biosynthetic process,1,973,0.7907376320777877,FALSE,YDR072C
