term,group_count,overall_count,exact_pval,sig,genes
carbohydrate transport,2,16,0.011790502599752941,FALSE,YFR053C YHR092C
meiotic cell cycle,2,22,0.021806745500342836,FALSE,YGR230W YOR178C
cell cycle,2,31,0.041354006784663985,FALSE,YGR230W YOR178C
cytoskeleton organization,4,127,0.043257308059110225,FALSE,YDL127W YDR309C YDR379W YNL289W
amino acid transport,2,40,0.06537640823359446,FALSE,YKR039W YMR088C
generation of precursor metabolites and energy,3,115,0.11895289520370166,FALSE,YFR053C YGR183C YOR178C
cell morphogenesis,1,12,0.11898716778033436,FALSE,YKR031C
transmembrane transport,4,195,0.1467638161135373,FALSE,YER145C YFR053C YGR121C YHR092C
response to chemical,5,281,0.17013691181980195,FALSE,YDR169C YKL032C YKR034W YNL180C YPL026C
protein phosphorylation,1,18,0.17315897446836892,FALSE,YPL026C
regulation of cell cycle,4,209,0.1749609312614304,FALSE,YDR309C YGL178W YMR199W YOR178C
anatomical structure formation involved in morphogenesis,2,73,0.17788565732899014,FALSE,YJL048C YKR031C
signal transduction,4,215,0.18759946521117826,FALSE,YDR309C YDR379W YIL119C YOR178C
cell death,1,23,0.21579619761244162,FALSE,YNL180C
ribosomal small subunit biogenesis,1,25,0.23224080431156457,FALSE,YNL132W
cell budding,1,27,0.24834719301448815,FALSE,YIL140W
cell division,1,27,0.24834719301448815,FALSE,YIL140W
response to heat,1,30,0.2718874988300197,FALSE,YOR178C
carbohydrate metabolic process,2,106,0.30601975405656356,FALSE,YFR053C YOR178C
reproduction,1,37,0.32403989905373964,FALSE,YIL140W
sporulation,1,46,0.385739939624844,FALSE,YJL048C
pseudohyphal growth,1,48,0.39868205280840396,FALSE,YPL026C
regulation of protein modification process,1,52,0.42376935681505057,FALSE,YMR199W
cellular respiration,1,56,0.4478296849280333,FALSE,YGR183C
protein glycosylation,1,58,0.4594876826189397,FALSE,YJL186W
catabolic process,7,615,0.47215602662468237,FALSE,YFR053C YGR122W YIR027C YIR028W YIR031C YJL048C YPR151C
nucleobase-containing compound catabolic process,2,165,0.521378528791065,FALSE,YFR053C YGR122W
monoatomic ion transport,1,71,0.5295944865613236,FALSE,YER145C
nucleobase-containing small molecule metabolic process,2,172,0.5440535793894683,FALSE,YEL021W YFR053C
response to oxidative stress,1,78,0.563567485329151,FALSE,YNL180C
chromosome organization,2,181,0.5721332994531656,FALSE,YLR449W YPL024W
regulation of transport,1,82,0.5818880691096648,FALSE,YPL026C
growth,1,89,0.6121517049161084,FALSE,YPL026C
response to stress,5,503,0.6199716486753144,FALSE,YKL032C YNL133C YNL180C YOR178C YPL024W
regulation of organelle organization,2,205,0.640967701634795,FALSE,YDR309C YOR178C
RNA modification,1,98,0.647923205686348,FALSE,YNL132W
regulation of translation,1,99,0.6516922897564562,FALSE,YGL178W
DNA metabolic process,3,321,0.6646684428105785,FALSE,YLR449W YNL133C YPL024W
monocarboxylic acid metabolic process,1,105,0.6734900089424383,FALSE,YFR053C
regulation of DNA metabolic process,1,106,0.6769905364900386,FALSE,YKL032C
cell wall organization or biogenesis,1,114,0.7037012925876125,FALSE,YIL119C
protein-RNA complex assembly,1,120,0.722301235732016,FALSE,YNL124W
transport,8,874,0.7226480284874681,FALSE,YER145C YFR053C YGR121C YHL016C YHR092C YIR028W YKR039W YMR088C
DNA damage response,2,249,0.7446922047417242,FALSE,YNL133C YPL024W
lipid metabolic process,2,249,0.7446922047417242,FALSE,YKR031C YNR019W
RNA catabolic process,1,128,0.7453304009804629,FALSE,YGR122W
protein-containing complex assembly,3,375,0.7654431052514168,FALSE,YGR183C YLR449W YNL124W
cellular component assembly,4,534,0.8274634217737598,FALSE,YGR183C YKR031C YLR449W YNL124W
amino acid metabolic process,1,173,0.8439379084503044,FALSE,YOL058W
small molecule metabolic process,4,556,0.8512442168230457,FALSE,YEL021W YFR053C YNR019W YOL058W
homeostatic process,1,184,0.8616443335140238,FALSE,YGR121C
proteolysis involved in protein catabolic process,1,186,0.8646449413647762,FALSE,YJL048C
DNA repair,1,208,0.8937188269235803,FALSE,YNL133C
chromatin organization,1,216,0.9026929905020522,FALSE,YLR449W
rRNA processing,1,233,0.9193675301689076,FALSE,YDR365C
cellular nitrogen compound metabolic process,8,1386,0.9897895825621712,FALSE,YDR365C YEL021W YFR053C YGR122W YLR449W YNL132W YNL133C YPL024W
biosynthetic process,2,973,0.9998526896957876,FALSE,YEL021W YOL058W
