term,group_count,overall_count,exact_pval,sig,genes
carbohydrate metabolic process,17,106,6.8005860953796164e-18,TRUE,YAL038W YBR145W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YIL053W YIL155C YJL052W YJR009C YKL060C YLR044C YMR205C YOL086C YOR178C
generation of precursor metabolites and energy,17,115,2.895169512029032e-17,TRUE,YAL038W YBR145W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YJL052W YJR009C YKL060C YLR044C YMR205C YNL241C YOL086C YOR178C YPL061W
nucleobase-containing small molecule metabolic process,18,172,1.525589173820598e-15,TRUE,YAL038W YBR145W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YIL155C YJL052W YJR009C YKL060C YMR083W YMR205C YMR303C YNL241C YOL086C YPL061W
monocarboxylic acid metabolic process,13,105,3.2107355953408563e-12,TRUE,YAL038W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YJL052W YJR009C YKL060C YLR044C YMR205C YPL061W
small molecule metabolic process,24,556,3.354754804794731e-12,TRUE,YAL038W YBR145W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YIL053W YIL155C YJL052W YJR009C YKL060C YLR044C YLR438W YMR083W YMR205C YMR303C YNL239W YNL241C YNL277W YOL086C YOR375C YPL061W
nucleobase-containing compound catabolic process,12,165,1.3190503230695724e-8,TRUE,YAL038W YBR196C YCL040W YCR012W YER146W YGR192C YGR254W YHR174W YJL052W YJR009C YKL060C YMR205C
catabolic process,19,615,4.5676947078011365e-7,TRUE,YAL038W YBR145W YBR196C YCL040W YCR012W YER146W YGR192C YGR254W YHR174W YJL052W YJR009C YKL060C YLR044C YMR083W YMR205C YMR303C YNL239W YOL086C YPL037C
amino acid metabolic process,9,173,1.821402552736537e-5,TRUE,YBR145W YLR044C YLR438W YMR083W YMR303C YNL239W YNL277W YOL086C YOR375C
cellular nitrogen compound metabolic process,25,1386,7.995990905318413e-5,TRUE,YAL038W YBL003C YBR145W YBR196C YCL040W YCR012W YDL047W YDR232W YER146W YFL023W YGR192C YGR254W YHR174W YIL155C YJL052W YJR009C YKL060C YLR044C YMR083W YMR205C YMR303C YNL241C YOL086C YOR375C YPL061W
cell death,3,23,0.0010807425399247193,FALSE,YGR192C YJR009C YNL055C
biosynthetic process,17,973,0.0033938852801675664,FALSE,YBR145W YBR196C YCR012W YDR232W YFL023W YGR192C YIL053W YJL052W YJR009C YKL060C YLR044C YMR083W YMR303C YNL277W YOL086C YOR375C YPL061W
monoatomic ion transport,3,71,0.025809987924178063,FALSE,YDR276C YGR192C YNL055C
regulation of organelle organization,5,205,0.036373152457177774,FALSE,YDL047W YDR232W YGR254W YHR174W YOR178C
response to chemical,6,281,0.03933271704387157,FALSE,YDL047W YKL032C YNL190W YNL239W YNL241C YPL075W
response to stress,8,503,0.07913603847083123,FALSE,YBL003C YDL047W YIL053W YKL032C YNL190W YNL241C YOR178C YPL061W
response to osmotic stress,2,54,0.08524387452878765,FALSE,YIL053W YPL061W
carbohydrate transport,1,16,0.13556695712477962,FALSE,YCL040W
response to oxidative stress,2,78,0.15656270599493713,FALSE,YDL047W YNL241C
sulfur compound metabolic process,2,81,0.16615319990958238,FALSE,YNL239W YNL277W
meiotic cell cycle,1,22,0.1816265939762114,FALSE,YOR178C
transcription by RNA polymerase III,1,28,0.22528488889024367,FALSE,YFL023W
response to heat,1,30,0.23932536219747225,FALSE,YOR178C
cell cycle,1,31,0.2462520352238199,FALSE,YOR178C
signal transduction,3,215,0.30834328079409656,FALSE,YDL047W YOR178C YPL089C
chromatin organization,3,216,0.3108578188868847,FALSE,YBL003C YMR037C YPL075W
protein targeting,2,133,0.34007186696905045,FALSE,YLR301W YPL037C
lipid transport,1,57,0.40619644610913463,FALSE,YNL055C
tRNA metabolic process,2,179,0.48618103693128967,FALSE,YDL047W YFL023W
homeostatic process,2,184,0.5009272122660218,FALSE,YMR205C YNL055C
protein maturation,1,78,0.5107087443605423,FALSE,YPR024W
regulation of transport,1,82,0.5284681004173847,FALSE,YNL055C
RNA splicing,1,82,0.5284681004173847,FALSE,YER146W
transmembrane transport,2,195,0.5324415578002109,FALSE,YCL040W YPR024W
protein folding,1,91,0.5661547685335776,FALSE,YPR024W
DNA repair,2,208,0.5679776137749726,FALSE,YBL003C YDL047W
regulation of cell cycle,2,209,0.5706326846109964,FALSE,YOR178C YPL089C
RNA modification,1,98,0.5934159675756125,FALSE,YDL047W
DNA-templated transcription,1,103,0.6118558505114893,FALSE,YFL023W
tRNA processing,1,104,0.6154444915237807,FALSE,YDL047W
regulation of DNA metabolic process,1,106,0.6225247638259399,FALSE,YKL032C
mRNA processing,1,113,0.6463166678758494,FALSE,YER146W
cell wall organization or biogenesis,1,114,0.6495935823027734,FALSE,YBR067C
intracellular monoatomic ion homeostasis,1,116,0.6560586421472867,FALSE,YMR205C
nucleobase-containing compound transport,1,117,0.6592473104459635,FALSE,YNL055C
DNA damage response,2,249,0.6674775189158304,FALSE,YBL003C YDL047W
protein-RNA complex assembly,1,120,0.6686409588994235,FALSE,YFL023W
RNA catabolic process,1,128,0.6924707106879078,FALSE,YER146W
transport,7,874,0.7016662657066111,FALSE,YCL040W YDR276C YGR192C YNL055C YNL149C YOR230W YPR024W
membrane organization,1,146,0.740129441632436,FALSE,YNL055C
nuclear transport,1,156,0.7634034672152197,FALSE,YOR230W
nucleocytoplasmic transport,1,156,0.7634034672152197,FALSE,YOR230W
mitochondrion organization,1,160,0.7721313744451686,FALSE,YNL055C
DNA metabolic process,2,321,0.7978855795922024,FALSE,YBL003C YDL047W
proteolysis involved in protein catabolic process,1,186,0.8216643013234651,FALSE,YPR024W
protein-containing complex assembly,2,375,0.8644393254929534,FALSE,YFL023W YMR205C
rRNA processing,1,233,0.8858966391885289,FALSE,YFL023W
cellular component assembly,2,534,0.9621834572862977,FALSE,YFL023W YMR205C
