term,group_count,overall_count,exact_pval,sig,genes
carbohydrate metabolic process,10,106,1.6100784640464812e-17,TRUE,YAL038W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YJR009C YLR044C YOL086C
generation of precursor metabolites and energy,10,115,3.767744814292088e-17,TRUE,YAL038W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YJR009C YLR044C YOL086C
monocarboxylic acid metabolic process,9,105,7.213146261774457e-15,TRUE,YAL038W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YJR009C YLR044C
nucleobase-containing small molecule metabolic process,9,172,6.954944774311973e-13,TRUE,YAL038W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YJR009C YOL086C
nucleobase-containing compound catabolic process,8,165,6.395313708417125e-11,TRUE,YAL038W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YJR009C
small molecule metabolic process,10,556,3.625125353639323e-10,TRUE,YAL038W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YJR009C YLR044C YOL086C
catabolic process,10,615,1.0016947061664771e-9,TRUE,YAL038W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YJR009C YLR044C YOL086C
cellular nitrogen compound metabolic process,10,1386,3.5271689973884463e-6,TRUE,YAL038W YBR196C YCL040W YCR012W YGR192C YGR254W YHR174W YJR009C YLR044C YOL086C
cell death,2,23,9.418538200568473e-4,TRUE,YGR192C YJR009C
biosynthetic process,6,973,0.006369332953201441,FALSE,YBR196C YCR012W YGR192C YJR009C YLR044C YOL086C
carbohydrate transport,1,16,0.03245479685638508,FALSE,YCL040W
amino acid metabolic process,2,173,0.04696580341970186,FALSE,YLR044C YOL086C
regulation of organelle organization,2,205,0.06372402330638516,FALSE,YGR254W YHR174W
monoatomic ion transport,1,71,0.1369170901984882,FALSE,YGR192C
transmembrane transport,1,195,0.33616477955662327,FALSE,YCL040W
transport,2,874,0.5603798542528657,FALSE,YCL040W YGR192C
