term,group_count,overall_count,exact_pval,sig,genes
mitochondrion organization,3,160,0.009756542570122803,FALSE,YBL078C YIL146C YOR019W
organelle fission,1,18,0.05066769821502881,FALSE,YKL172W
meiotic cell cycle,1,22,0.06159852126327636,FALSE,YHL024W
cell budding,1,27,0.07509770205743327,FALSE,YJR092W
cell division,1,27,0.07509770205743327,FALSE,YJR092W
cell cycle,1,31,0.0857669758984817,FALSE,YHL024W
vitamin metabolic process,1,32,0.0884163781624896,FALSE,YIL145C
catabolic process,4,615,0.09029544810898585,FALSE,YBL078C YIL146C YOR019W YOR152C
membrane fusion,1,34,0.09369380772159785,FALSE,YBL078C
reproduction,1,37,0.10155677983561906,FALSE,YJR092W
DNA replication,1,45,0.12221610592500509,FALSE,YHL024W
sporulation,1,46,0.12476727356400252,FALSE,YHL024W
anatomical structure formation involved in morphogenesis,1,73,0.19110114826416225,FALSE,YHL024W
organelle assembly,1,76,0.1981760252738065,FALSE,YBL078C
sulfur compound metabolic process,1,81,0.20983993341557927,FALSE,YGL125W
monocarboxylic acid metabolic process,1,105,0.26366574981348934,FALSE,YIL145C
cell wall organization or biogenesis,1,114,0.28295725144626804,FALSE,YLR414C
DNA recombination,1,118,0.29137968684392157,FALSE,YHL024W
cytoskeleton organization,1,127,0.30999541794955277,FALSE,YJR092W
protein targeting,1,133,0.32215250692710506,FALSE,YBL078C
membrane organization,1,146,0.3478137071197196,FALSE,YBL078C
Golgi vesicle transport,1,169,0.39101705958695443,FALSE,YBL078C
amino acid metabolic process,1,173,0.39825370003629057,FALSE,YGL125W
signal transduction,1,215,0.4695661134195558,FALSE,YIL146C
small molecule metabolic process,2,556,0.48752017525698943,FALSE,YGL125W YIL145C
rRNA processing,1,233,0.49765597311096865,FALSE,YKL172W
vesicle-mediated transport,1,317,0.6114051545308943,FALSE,YBL078C
DNA metabolic process,1,321,0.6161726110293626,FALSE,YHL024W
biosynthetic process,2,973,0.8029112235563896,FALSE,YGL125W YIL145C
cellular component assembly,1,534,0.8042925877753557,FALSE,YBL078C
cellular nitrogen compound metabolic process,3,1386,0.8087969314282655,FALSE,YHL024W YIL145C YKL172W
transport,1,874,0.9378590853205869,FALSE,YBL078C
