term,group_count,overall_count,exact_pval,sig,genes
sulfur compound metabolic process,2,81,0.009151804271398275,FALSE,YIL003W YKL040C
transmembrane transport,2,195,0.04786353098149483,FALSE,YDR456W YJL104W
membrane fusion,1,34,0.06125402016384662,FALSE,YDR456W
cellular component assembly,3,534,0.06688791984290149,FALSE,YDR312W YIL003W YKL040C
vesicle organization,1,63,0.11084004593795727,FALSE,YDR456W
monoatomic ion transport,1,71,0.12410260115710214,FALSE,YDR456W
organelle fusion,1,71,0.12410260115710214,FALSE,YDR456W
protein maturation,1,78,0.13556278173480685,FALSE,YKL040C
mitochondrial translation,1,93,0.15967259175729198,FALSE,YCR003W
RNA modification,1,98,0.16757530186666802,FALSE,YIL003W
tRNA processing,1,104,0.17697130371057324,FALSE,YIL003W
intracellular monoatomic ion homeostasis,1,116,0.1954809627574281,FALSE,YDR456W
protein-RNA complex assembly,1,120,0.20156809115599683,FALSE,YDR312W
RNA catabolic process,1,128,0.21361966940036614,FALSE,YNL004W
membrane organization,1,146,0.2401464320918888,FALSE,YDR456W
nucleobase-containing compound catabolic process,1,165,0.267281167206876,FALSE,YNL004W
tRNA metabolic process,1,179,0.2867204555000116,FALSE,YIL003W
homeostatic process,1,184,0.29355113134607047,FALSE,YDR456W
translation,1,189,0.30032359984437407,FALSE,YCR003W
cellular nitrogen compound metabolic process,3,1386,0.4972064870667231,FALSE,YCR003W YIL003W YNL004W
transport,2,874,0.5007240078510433,FALSE,YDR456W YJL104W
protein-containing complex assembly,1,375,0.5147104278446546,FALSE,YDR312W
catabolic process,1,615,0.7042399438326261,FALSE,YNL004W
biosynthetic process,1,973,0.8662168853006023,FALSE,YCR003W
