term,group_count,overall_count,exact_pval,sig,genes
monocarboxylic acid metabolic process,2,105,0.05648059019984588,FALSE,YAL038W YHR174W
carbohydrate metabolic process,2,106,0.057442139817154174,FALSE,YAL038W YHR174W
generation of precursor metabolites and energy,2,115,0.0663551024584816,FALSE,YAL038W YHR174W
intracellular monoatomic ion homeostasis,2,116,0.06737329103423174,FALSE,YDR011W YOR153W
protein-RNA complex assembly,2,120,0.0714994665076149,FALSE,YDR416W YJR007W
protein targeting,2,133,0.08546831390066077,FALSE,YKL077W YMR258C
translational elongation,1,31,0.10893459091954116,FALSE,YBR118W
nucleobase-containing compound catabolic process,2,165,0.12296978483200768,FALSE,YAL038W YHR174W
translational initiation,1,36,0.12541838898502233,FALSE,YJR007W
nucleobase-containing small molecule metabolic process,2,172,0.1316661172440776,FALSE,YAL038W YHR174W
peroxisome organization,1,40,0.13839762999640137,FALSE,YOR233W
homeostatic process,2,184,0.1469121478996054,FALSE,YDR011W YOR153W
organelle inheritance,1,53,0.1793351697272092,FALSE,YOR233W
chromatin organization,2,216,0.1892502236560618,FALSE,YBL006C YDR469W
DNA-templated transcription elongation,1,61,0.20360694843878668,FALSE,YBL006C
vacuole organization,1,63,0.20956807732842786,FALSE,YOR233W
protein maturation,1,78,0.2529519596531772,FALSE,YKL077W
endocytosis,1,82,0.26413534940247707,FALSE,YMR258C
cellular component assembly,3,534,0.3165687815503043,FALSE,YBR118W YDR416W YJR007W
cell wall organization or biogenesis,1,114,0.348079454578753,FALSE,YJL159W
nucleobase-containing compound transport,1,117,0.3554673609137944,FALSE,YBR118W
protein-containing complex assembly,2,375,0.40979358999370186,FALSE,YDR416W YJR007W
nuclear transport,1,156,0.44459308180017043,FALSE,YBR118W
nucleocytoplasmic transport,1,156,0.44459308180017043,FALSE,YBR118W
transmembrane transport,1,195,0.5219879949659161,FALSE,YOR153W
regulation of organelle organization,1,205,0.5401247664276492,FALSE,YHR174W
regulation of cell cycle,1,209,0.5471958614383959,FALSE,YOR233W
signal transduction,1,215,0.5576102439702855,FALSE,YOR233W
rRNA processing,1,233,0.5875128066692654,FALSE,YML093W
small molecule metabolic process,2,556,0.6270544505889364,FALSE,YAL038W YHR174W
transport,3,874,0.653527100332115,FALSE,YBR118W YMR258C YOR153W
response to chemical,1,281,0.6581971515909133,FALSE,YOR153W
catabolic process,2,615,0.6844857510854516,FALSE,YAL038W YHR174W
vesicle-mediated transport,1,317,0.7035269531914549,FALSE,YMR258C
cellular nitrogen compound metabolic process,4,1386,0.8003858193061895,FALSE,YAL038W YBL006C YHR174W YML093W
biosynthetic process,2,973,0.9016289335637884,FALSE,YBL006C YBR118W
