term,group_count,overall_count,exact_pval,sig,genes
protein folding,5,91,0.008509554181350833,FALSE,YAL005C YDL143W YJR088C YML048W YMR186W
protein maturation,4,78,0.023054232229059127,FALSE,YCR008W YHR028C YKL040C YKL077W
DNA repair,7,208,0.025300240535862602,FALSE,YBL023C YDL140C YDR159W YDR334W YFL024C YOR023C YOR025W
RNA catabolic process,5,128,0.032629232160889844,FALSE,YCR093W YDR159W YDR370C YNL232W YNL251C
response to stress,12,503,0.0446841108978972,FALSE,YBL023C YDL140C YDR028C YDR159W YDR334W YDR372C YFL024C YGL195W YMR186W YOR023C YOR025W YOR297C
protein glycosylation,3,58,0.046822052931989426,FALSE,YEL036C YJL002C YKL201C
ribosomal small subunit biogenesis,2,25,0.0470426275724049,FALSE,YDL148C YDR159W
protein modification by small protein conjugation or removal,4,99,0.04900255077193236,FALSE,YAL005C YFR010W YKL010C YMR275C
DNA damage response,7,249,0.05791507436928068,FALSE,YBL023C YDL140C YDR159W YDR334W YFL024C YOR023C YOR025W
cell cycle,2,31,0.0691418325772303,FALSE,YCL055W YDR159W
translational elongation,2,31,0.0691418325772303,FALSE,YBR118W YGL195W
DNA metabolic process,8,321,0.0777621705574149,FALSE,YBL023C YDL140C YDR159W YDR334W YFL024C YMR186W YOR023C YOR025W
intracellular monoatomic ion homeostasis,4,116,0.07834131508331287,FALSE,YCR008W YDR011W YDR270W YOR153W
nucleobase-containing compound catabolic process,5,165,0.08000961944628947,FALSE,YCR093W YDR159W YDR370C YNL232W YNL251C
DNA recombination,4,118,0.08226884888755333,FALSE,YBL023C YDR334W YOR023C YOR025W
catabolic process,13,615,0.08250457739637773,FALSE,YAL005C YCR093W YDR028C YDR159W YDR287W YDR370C YEL022W YFR010W YHR001W YKL010C YNL155W YNL232W YNL251C
mitotic cell cycle,1,10,0.13149232327693305,FALSE,YDR159W
lipid metabolic process,6,249,0.13379603423631276,FALSE,YGL001C YGL047W YHR001W YJL002C YNL156C YOR025W
peptidyl-amino acid modification,2,49,0.14940706532398856,FALSE,YCR008W YPL208W
cell adhesion,1,12,0.15566819966261736,FALSE,YLR110C
regulation of translation,3,99,0.1603091557297923,FALSE,YER176W YGL195W YOR260W
nuclear transport,4,156,0.17351946197402227,FALSE,YAL005C YBR118W YDR159W YOR262W
nucleocytoplasmic transport,4,156,0.17351946197402227,FALSE,YAL005C YBR118W YDR159W YOR262W
lipid transport,2,57,0.1892719481788244,FALSE,YHR001W YKL053C-A
ribosome biogenesis,1,16,0.20204787510858035,FALSE,YER007C-A
mRNA processing,3,113,0.20965678241056504,FALSE,YDR159W YNL232W YNL251C
Golgi vesicle transport,4,169,0.21064574187902854,FALSE,YDR372C YEL022W YKL196C YPL070W
protein alkylation,1,17,0.21324489213140696,FALSE,YPL208W
vesicle organization,2,63,0.22004489411189365,FALSE,YEL022W YKL196C
nucleobase-containing compound transport,3,117,0.22435559369518074,FALSE,YBR118W YDR159W YMR275C
transport,15,874,0.23324835639180155,FALSE,YAL005C YBR118W YDR159W YDR270W YDR372C YEL022W YHR001W YJL094C YKL053C-A YKL196C YMR275C YOR153W YOR262W YOR297C YPL070W
homeostatic process,4,184,0.2560235038869106,FALSE,YCR008W YDR011W YDR270W YOR153W
organelle fusion,2,71,0.26165655328189596,FALSE,YCL055W YKL196C
proteolysis involved in protein catabolic process,4,186,0.2622334178685214,FALSE,YAL005C YFR010W YKL010C YNL155W
meiotic cell cycle,1,22,0.26694914794042146,FALSE,YCL055W
cell death,1,23,0.2772482094982833,FALSE,YOR297C
vesicle-mediated transport,6,317,0.28242180980231774,FALSE,YDR372C YEL022W YHR001W YKL196C YMR275C YPL070W
protein targeting,3,133,0.2848700642887923,FALSE,YAL005C YBR283C YKL077W
transmembrane transport,4,195,0.2905283504318253,FALSE,YAL005C YDR270W YJL094C YOR153W
vacuolar transport,2,79,0.30338149582143736,FALSE,YHR001W YPL070W
response to starvation,1,26,0.30729755468077957,FALSE,YDR028C
sulfur compound metabolic process,2,81,0.3137705792908473,FALSE,YKL040C YNL240C
endocytosis,2,82,0.31895400386100226,FALSE,YHR001W YMR275C
regulation of transport,2,82,0.31895400386100226,FALSE,YCR008W YLR342W
exocytosis,1,28,0.3266430472337555,FALSE,YHR001W
membrane organization,3,146,0.3350840914007017,FALSE,YKL053C-A YKL196C YOR297C
response to heat,1,30,0.34545599336618893,FALSE,YMR186W
growth,2,89,0.3549590955829116,FALSE,YCR093W YOR353C
response to chemical,5,281,0.35750301539458706,FALSE,YCR093W YDR028C YNL155W YOR153W YOR297C
membrane fusion,1,34,0.3815416489370509,FALSE,YKL196C
mitochondrion organization,3,160,0.3890847950383154,FALSE,YKL053C-A YMR275C YOR297C
reproduction,1,37,0.40731262597755347,FALSE,YLR110C
sno(s)RNA processing,1,37,0.40731262597755347,FALSE,YNL251C
DNA-templated transcription termination,1,38,0.4156655257565227,FALSE,YNL251C
DNA-templated transcription,2,103,0.42481592532305446,FALSE,YDL140C YOR025W
sporulation,1,46,0.4784429685996966,FALSE,YDR371W
nucleus organization,1,48,0.4930688518879702,FALSE,YCL055W
pseudohyphal growth,1,48,0.4930688518879702,FALSE,YCR093W
regulation of protein modification process,1,52,0.5211187760390291,FALSE,YPL014W
organelle inheritance,1,53,0.5278888224484564,FALSE,YMR275C
response to osmotic stress,1,54,0.5345645471466276,FALSE,YOR297C
transcription by RNA polymerase II,1,55,0.5411472448991295,FALSE,YDL140C
cellular respiration,1,56,0.5476381929637975,FALSE,YDR031W
telomere organization,1,58,0.5603498629180284,FALSE,YMR186W
DNA-templated transcription elongation,1,61,0.578760195572177,FALSE,YCR093W
chromatin organization,3,216,0.5885114035156878,FALSE,YDR334W YOR025W YPL015C
vacuole organization,1,63,0.5906095575011809,FALSE,YKL196C
biosynthetic process,13,973,0.6260229122567051,FALSE,YAL005C YBR118W YCR093W YDL140C YGL001C YGL047W YGL195W YJL002C YLR342W YNL156C YNL251C YOR025W YOR158W
cellular component assembly,7,534,0.6321131922841304,FALSE,YBL023C YBR118W YKL010C YKL040C YKL053C-A YMR186W YNL240C
monoatomic ion transport,1,71,0.6348100430263389,FALSE,YDR270W
rRNA processing,3,233,0.6405936811775004,FALSE,YDL148C YDR370C YNL232W
anatomical structure formation involved in morphogenesis,1,73,0.6451040284926055,FALSE,YDR371W
endosomal transport,1,75,0.6551119951765745,FALSE,YPL070W
response to oxidative stress,1,78,0.6696047338669022,FALSE,YOR297C
tRNA metabolic process,2,179,0.7214264895282166,FALSE,YNL232W YNL251C
chromosome organization,2,181,0.7271826430771868,FALSE,YDR159W YMR186W
mitochondrial translation,1,93,0.7335378817233749,FALSE,YOR158W
cytoplasmic translation,1,96,0.7447767062447292,FALSE,YAL005C
translation,2,189,0.749228246685016,FALSE,YAL005C YOR158W
RNA modification,1,98,0.7520084181899487,FALSE,YCL055W
tRNA processing,1,104,0.772513758675397,FALSE,YNL251C
monocarboxylic acid metabolic process,1,105,0.7757649281604899,FALSE,YOR025W
carbohydrate metabolic process,1,106,0.7789703065260747,FALSE,YLR342W
regulation of DNA metabolic process,1,106,0.7789703065260747,FALSE,YPL015C
protein-containing complex assembly,4,375,0.7814151758430509,FALSE,YBL023C YKL010C YKL053C-A YMR186W
cell wall organization or biogenesis,1,114,0.8030393124691378,FALSE,YLR110C
generation of precursor metabolites and energy,1,115,0.8058601479266142,FALSE,YDR031W
signal transduction,2,215,0.8107467898586631,FALSE,YDR372C YOR353C
protein-RNA complex assembly,1,120,0.8193780788418678,FALSE,YMR186W
cytoskeleton organization,1,127,0.836757754756831,FALSE,YEL022W
cellular nitrogen compound metabolic process,16,1386,0.8575777105953688,FALSE,YAL005C YBL023C YCL055W YCR093W YDL140C YDL148C YDR159W YDR334W YDR370C YFL024C YMR186W YNL232W YNL251C YOR023C YOR025W YOR158W
small molecule metabolic process,5,556,0.9029811966235635,FALSE,YDR287W YGL001C YGL047W YJL002C YOR025W
regulation of organelle organization,1,205,0.947668345439453,FALSE,YCR093W
regulation of cell cycle,1,209,0.9506595109742497,FALSE,YCR093W
