term,group_count,overall_count,exact_pval,sig,genes
regulation of DNA metabolic process,3,106,0.003081450324781953,FALSE,YBR088C YDR296W YPL127C
mitotic cell cycle,1,10,0.028450475367134742,FALSE,YBR088C
cell budding,1,27,0.07509770205743327,FALSE,YLR084C
cell division,1,27,0.07509770205743327,FALSE,YLR084C
cell cycle,1,31,0.0857669758984817,FALSE,YBR088C
chromosome organization,2,181,0.09359304985756392,FALSE,YBR088C YPL127C
reproduction,1,37,0.10155677983561906,FALSE,YLR084C
sno(s)RNA processing,1,37,0.10155677983561906,FALSE,YNL299W
amino acid transport,1,40,0.10935636742423349,FALSE,YCL025C
pseudohyphal growth,1,48,0.12984896663201628,FALSE,YMR016C
regulation of protein modification process,1,52,0.1399302631075614,FALSE,YAL040C
protein glycosylation,1,58,0.1548490220901947,FALSE,YDL055C
DNA damage response,2,249,0.1588599365318685,FALSE,YBR088C YLR183C
DNA-templated transcription elongation,1,61,0.1622179532362773,FALSE,YOR344C
vacuole organization,1,63,0.16709738073196123,FALSE,YAL040C
response to stress,3,503,0.17026860946047087,FALSE,YBR088C YDR296W YLR183C
organelle fusion,1,71,0.18635240742071046,FALSE,YAL040C
response to oxidative stress,1,78,0.2028606415492641,FALSE,YDR296W
growth,1,89,0.22817495730283388,FALSE,YMR016C
DNA metabolic process,2,321,0.23529930314751335,FALSE,YBR088C YDR296W
cell wall organization or biogenesis,1,114,0.28295725144626804,FALSE,YJL158C
DNA recombination,1,118,0.29137968684392157,FALSE,YDR296W
RNA catabolic process,1,128,0.3120355582132712,FALSE,YNL299W
cellular nitrogen compound metabolic process,5,1386,0.36789071952786545,FALSE,YBR088C YDL055C YDR296W YNL299W YOR344C
mitochondrion organization,1,160,0.37443813649144664,FALSE,YDR296W
nucleobase-containing compound catabolic process,1,165,0.38369967642183767,FALSE,YNL299W
nucleobase-containing small molecule metabolic process,1,172,0.3964520644076567,FALSE,YDL055C
tRNA metabolic process,1,179,0.40895906656485614,FALSE,YNL299W
transmembrane transport,1,195,0.4366483444769058,FALSE,YCL025C
regulation of organelle organization,1,205,0.4533372588457856,FALSE,YDR296W
DNA repair,1,208,0.4582536823255746,FALSE,YBR088C
regulation of cell cycle,1,209,0.45988334464775826,FALSE,YAL040C
chromatin organization,1,216,0.4711641496605986,FALSE,YBR088C
biosynthetic process,3,973,0.5529535797899305,FALSE,YBR088C YDL055C YOR344C
response to chemical,1,281,0.5659545946666451,FALSE,YDR296W
small molecule metabolic process,1,556,0.817788681561668,FALSE,YDL055C
catabolic process,1,615,0.849837021026616,FALSE,YNL299W
transport,1,874,0.9378590853205869,FALSE,YCL025C
