term,group_count,overall_count,exact_pval,sig,genes
generation of precursor metabolites and energy,12,115,5.562626735467926e-4,TRUE,YAL038W YBL045C YBR010W YER067W YFR033C YGL253W YGR248W YHR047C YHR051W YHR174W YJR048W YLR258W
response to osmotic stress,7,54,0.002351047805871246,FALSE,YFL014W YKL143W YLR113W YMR039C YOR008C YPL240C YPR065W
nucleobase-containing small molecule metabolic process,13,172,0.006247569127735315,FALSE,YAL038W YAR015W YBL098W YDL125C YGL253W YGR193C YGR248W YHR174W YJR121W YLR295C YMR120C YOR128C YOR184W
protein maturation,7,78,0.017566758220136907,FALSE,YAL044C YEL053C YER078C YKL040C YMR038C YPL240C YPR067W
response to heat,4,30,0.018731517614895297,FALSE,YDR258C YFL014W YLL026W YOR008C
protein acylation,3,17,0.019309004137902864,FALSE,YDR459C YEL053C YOL110W
sulfur compound metabolic process,7,81,0.021219780563893106,FALSE,YGR155W YGR193C YIL003W YKL040C YNL240C YPR067W YPR167C
protein lipidation,4,34,0.02850337228039232,FALSE,YDR182W YDR459C YJR013W YOL110W
cell wall organization or biogenesis,8,114,0.04286058422659721,FALSE,YDR055W YDR077W YEL040W YJL159W YJR013W YLR110C YLR414C YOR008C
cellular respiration,5,56,0.043067016808797993,FALSE,YBL045C YBR010W YFR033C YHR051W YJR048W
cell adhesion,2,12,0.06243474389659962,FALSE,YFL014W YLR110C
monocarboxylic acid metabolic process,7,105,0.07030920314025582,FALSE,YAL038W YBR177C YER073W YGL253W YGR193C YHR174W YPR067W
ribosomal large subunit biogenesis,4,46,0.07316555602492725,FALSE,YDR496C YGR103W YLR002C YNL110C
protein folding,6,91,0.09394650503784945,FALSE,YAL005C YDR258C YLL024C YLL026W YPL240C YPR158W
small molecule metabolic process,25,556,0.10322539582625223,FALSE,YAL038W YAL044C YAR015W YBL098W YBR177C YDL125C YEL046C YER073W YFL004W YGL001C YGL253W YGR155W YGR193C YGR248W YHR174W YJR121W YLR295C YMR096W YMR120C YMR189W YOL151W YOR128C YOR184W YOR236W YPR067W
response to chemical,14,281,0.10660086515315358,FALSE,YDL166C YEL009C YEL052W YFL014W YFL021W YGL252C YKL109W YKL143W YKR066C YLR113W YML088W YOR018W YOR153W YPR065W
response to oxidative stress,5,78,0.13164918655542746,FALSE,YDL166C YEL052W YFL014W YKL143W YKR066C
endocytosis,5,82,0.15302604521844673,FALSE,YGR198W YMR258C YOR008C YOR018W YOR043W
carbohydrate metabolic process,6,106,0.15964700889421188,FALSE,YAL038W YGL253W YHR047C YHR174W YLL026W YLR258W
response to stress,21,503,0.21274023350580237,FALSE,YBR010W YDL166C YDR182W YDR258C YEL052W YER147C YFL014W YFR034C YKL020C YKL143W YKR066C YLL026W YLR113W YLR151C YML088W YMR039C YOL115W YOR008C YOR173W YPL240C YPR065W
plasma membrane organization,1,7,0.21831870743566417,FALSE,YFL014W
response to starvation,2,26,0.22616124131419868,FALSE,YFR034C YOR173W
nuclear transport,7,156,0.29451580577733677,FALSE,YAL005C YBR118W YDR361C YGL252C YHR170W YKL143W YLL024C
nucleocytoplasmic transport,7,156,0.29451580577733677,FALSE,YAL005C YBR118W YDR361C YGL252C YHR170W YKL143W YLL024C
vitamin metabolic process,2,32,0.30388751709236306,FALSE,YMR096W YPR067W
regulation of transport,4,82,0.3148238047508326,FALSE,YGR197C YOR008C YOR018W YPL202C
mitochondrion organization,7,160,0.3168555025554442,FALSE,YBR179C YDR077W YDR258C YDR381C-A YLR295C YNL213C YOR043W
protein glycosylation,3,58,0.32460388716323085,FALSE,YEL036C YKR061W YML115C
ribosomal subunit export from nucleus,3,58,0.32460388716323085,FALSE,YDR361C YHR170W YKL143W
