term,group_count,overall_count,exact_pval,sig,genes
plasma membrane organization,3,7,2.8884015076684716e-5,TRUE,YFL014W YMR251W-A YPR149W
generation of precursor metabolites and energy,7,115,9.992606122386141e-5,TRUE,YAL038W YFR033C YGL253W YJR048W YMR145C YOR065W YPR191W
cellular respiration,4,56,0.001953706472494806,FALSE,YFR033C YJR048W YOR065W YPR191W
cell adhesion,2,12,0.005678280920609294,FALSE,YFL014W YLR110C
nitrogen cycle metabolic process,1,1,0.00966680378445084,FALSE,YBR208C
cell wall organization or biogenesis,4,114,0.02362055396474864,FALSE,YDR055W YDR077W YJL158C YLR110C
response to heat,2,30,0.03352120957838645,FALSE,YDR258C YFL014W
transmembrane transport,5,195,0.03875657976337188,FALSE,YAL005C YER053C YGL253W YOR153W YPL112C
sno(s)RNA processing,2,37,0.0491874498712984,FALSE,YGR158C YNL251C
sporulation,2,46,0.07239846126607712,FALSE,YJL048C YML052W
nucleobase-containing compound catabolic process,4,165,0.07396435928103295,FALSE,YAL038W YGL253W YGR158C YNL251C
carbohydrate metabolic process,3,106,0.08202381830208506,FALSE,YAL038W YGL253W YMR145C
nucleobase-containing small molecule metabolic process,4,172,0.08334771362795983,FALSE,YAL038W YDL055C YGL253W YMR145C
homeostatic process,4,184,0.10074261139334763,FALSE,YBR037C YDR011W YER053C YOR153W
intracellular monoatomic ion homeostasis,3,116,0.10091929167888877,FALSE,YDR011W YER053C YOR153W
response to chemical,5,281,0.13305400909745466,FALSE,YBR037C YFL014W YGL209W YKL109W YOR153W
carbohydrate transport,1,16,0.14415220077605584,FALSE,YGL253W
anatomical structure formation involved in morphogenesis,2,73,0.15651299380660505,FALSE,YJL048C YML052W
small molecule metabolic process,8,556,0.16308261815047995,FALSE,YAL038W YBR208C YDL055C YER081W YGL253W YJR016C YMR145C YOR236W
membrane organization,3,146,0.16643658898650163,FALSE,YFL014W YMR251W-A YPR149W
response to oxidative stress,2,78,0.1736586287777576,FALSE,YBR037C YFL014W
rRNA processing,4,233,0.1867682784928909,FALSE,YDR339C YGR158C YOL041C YOR078W
protein folding,2,91,0.2194763824312792,FALSE,YAL005C YDR258C
translational elongation,1,31,0.2607109117673243,FALSE,YBR118W
monocarboxylic acid metabolic process,2,105,0.26987397938719937,FALSE,YAL038W YGL253W
anatomical structure development,1,33,0.2750272550536589,FALSE,YML052W
mRNA processing,2,113,0.2987589966396583,FALSE,YNL251C YOL123W
reproduction,1,37,0.302850630152804,FALSE,YLR110C
DNA-templated transcription termination,1,38,0.3096415152062376,FALSE,YNL251C
peroxisome organization,1,40,0.3230296228889754,FALSE,YPL112C
RNA catabolic process,2,128,0.35242037236612167,FALSE,YGR158C YNL251C
catabolic process,7,615,0.38512723519623926,FALSE,YAL005C YAL038W YBR208C YGL253W YGR158C YJL048C YNL251C
regulation of protein modification process,1,52,0.39818210024370515,FALSE,YPR149W
response to osmotic stress,1,54,0.4098869486985023,FALSE,YFL014W
protein glycosylation,1,58,0.4326321053416068,FALSE,YDL055C
nuclear transport,2,156,0.44850968787240275,FALSE,YAL005C YBR118W
nucleocytoplasmic transport,2,156,0.44850968787240275,FALSE,YAL005C YBR118W
DNA-templated transcription elongation,1,61,0.44912567100475,FALSE,YOR344C
vacuole organization,1,63,0.4598596980713061,FALSE,YPR149W
mitochondrion organization,2,160,0.46163314482910456,FALSE,YDR077W YDR258C
transport,9,874,0.47818482660465955,FALSE,YAL005C YBR118W YER053C YGL253W YML052W YOR153W YOR273C YPL112C YPR149W
monoatomic ion transport,1,71,0.5007857760436826,FALSE,YER053C
organelle fusion,1,71,0.5007857760436826,FALSE,YPR149W
amino acid metabolic process,2,173,0.5030490036528694,FALSE,YER081W YJR016C
tRNA metabolic process,2,179,0.5214918906499868,FALSE,YGR158C YNL251C
proteolysis involved in protein catabolic process,2,186,0.5424477035178417,FALSE,YAL005C YJL048C
endocytosis,1,82,0.5521412239087844,FALSE,YML052W
regulation of transport,1,82,0.5521412239087844,FALSE,YPR149W
cellular component assembly,5,534,0.6006868053277215,FALSE,YBR037C YBR118W YMR031C YNR018W YPR149W
cytoplasmic translation,1,96,0.6100765627967444,FALSE,YAL005C
cellular nitrogen compound metabolic process,13,1386,0.6104928617807863,FALSE,YAL005C YAL038W YDL055C YDR339C YGL253W YGR158C YMR145C YNL251C YOL041C YOL123W YOR078W YOR236W YOR344C
protein modification by small protein conjugation or removal,1,99,0.6215012631029051,FALSE,YAL005C
tRNA processing,1,104,0.6398184885592575,FALSE,YNL251C
nucleobase-containing compound transport,1,117,0.6834787105335633,FALSE,YBR118W
protein targeting,1,133,0.7301505500069074,FALSE,YAL005C
response to stress,4,503,0.7319331175458385,FALSE,YBR037C YDR258C YFL014W YFL031W
biosynthetic process,8,973,0.7528578406371124,FALSE,YAL005C YBR118W YDL055C YER081W YJR016C YNL251C YOR236W YOR344C
translation,1,189,0.8462667194158949,FALSE,YAL005C
signal transduction,1,215,0.8818820437269959,FALSE,YFL031W
protein-containing complex assembly,2,375,0.8879337125634902,FALSE,YBR037C YNR018W
vesicle-mediated transport,1,317,0.9585990459547183,FALSE,YML052W
