term,group_count,overall_count,exact_pval,sig,genes
transport,6,874,0.011508219519219395,FALSE,YBR008C YGR281W YIL076W YKR093W YLL028W YPL058C
nucleobase-containing compound catabolic process,2,165,0.06046568570937037,FALSE,YBR257W YOR163W
response to heat,1,30,0.07166015081947696,FALSE,YFL016C
transmembrane transport,2,195,0.08113741650781867,FALSE,YBR008C YLL028W
sno(s)RNA processing,1,37,0.08768864956268674,FALSE,YBR257W
DNA-templated transcription elongation,1,61,0.14073723355890733,FALSE,YOR344C
vacuole organization,1,63,0.14502773067794716,FALSE,YKL051W
vesicle organization,1,63,0.14502773067794716,FALSE,YIL076W
endosomal transport,1,75,0.17036099329354037,FALSE,YIL076W
vacuolar transport,1,79,0.17865127377059353,FALSE,YIL076W
regulation of transport,1,82,0.18481907331781822,FALSE,YKL051W
protein folding,1,91,0.20306863649121065,FALSE,YFL016C
tRNA processing,1,104,0.22876854997861962,FALSE,YBR257W
cytoskeleton organization,1,127,0.2723844546065185,FALSE,YKL051W
RNA catabolic process,1,128,0.2742284644364493,FALSE,YBR257W
membrane organization,1,146,0.3066966513831486,FALSE,YKL051W
mitochondrion organization,1,160,0.33102311496434644,FALSE,YFL016C
Golgi vesicle transport,1,169,0.3462457046486864,FALSE,YIL076W
nucleobase-containing small molecule metabolic process,1,172,0.35124890465849956,FALSE,YOR163W
tRNA metabolic process,1,179,0.36278684285969653,FALSE,YBR257W
proteolysis involved in protein catabolic process,1,186,0.37413640101439116,FALSE,YFL016C
rRNA processing,1,233,0.44566858614372085,FALSE,YBR257W
catabolic process,2,615,0.4600386198097962,FALSE,YBR257W YOR163W
vesicle-mediated transport,1,317,0.5551482144792015,FALSE,YIL076W
cellular nitrogen compound metabolic process,3,1386,0.7103574438552689,FALSE,YBR257W YOR163W YOR344C
response to stress,1,503,0.7307339826287282,FALSE,YFL016C
small molecule metabolic process,1,556,0.7675410109637195,FALSE,YOR163W
biosynthetic process,1,973,0.9316405980402434,FALSE,YOR344C
